id	file	line	kind	attributes	audit_class	assessment	text
1	reference-semantics/semantics/assert.k	3	module		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	module MPY-ASSERT
2	reference-semantics/semantics/assert.k	4	imports		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	imports MPY-CORE
3	reference-semantics/semantics/assert.k	6	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
4	reference-semantics/semantics/assert.k	8	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
5	reference-semantics/semantics/assert.k	13	rule	priority	fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
6	reference-semantics/semantics/assert.k	16	endmodule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	endmodule
7	reference-semantics/semantics/bool.k	5	module		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	module MPY-BOOL
8	reference-semantics/semantics/bool.k	6	imports		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	imports MPY-CORE
9	reference-semantics/semantics/bool.k	8	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
10	reference-semantics/semantics/bool.k	10	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
11	reference-semantics/semantics/bool.k	11	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
12	reference-semantics/semantics/bool.k	16	context		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	context BoolOp(_, (HOLE:Expr, _:Exprs))
13	reference-semantics/semantics/bool.k	17	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
14	reference-semantics/semantics/bool.k	18	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
15	reference-semantics/semantics/bool.k	20	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
16	reference-semantics/semantics/bool.k	22	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
17	reference-semantics/semantics/bool.k	24	rule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
18	reference-semantics/semantics/bool.k	29	rule	priority	fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
19	reference-semantics/semantics/bool.k	31	rule	priority	fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
20	reference-semantics/semantics/bool.k	35	rule	priority	fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
21	reference-semantics/semantics/bool.k	39	rule	priority	fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
22	reference-semantics/semantics/bool.k	43	rule	priority	fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
23	reference-semantics/semantics/bool.k	47	endmodule		fixed-supplied/unreached	fixed-supplied-unreached/no-false-witness-identified	endmodule
24	reference-semantics/semantics/builtins.k	3	module		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	module MPY-BUILTINS
25	reference-semantics/semantics/builtins.k	4	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-CORE
26	reference-semantics/semantics/builtins.k	5	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-STR
27	reference-semantics/semantics/builtins.k	6	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-SET
28	reference-semantics/semantics/builtins.k	7	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-ITER
29	reference-semantics/semantics/builtins.k	8	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-RANGE
30	reference-semantics/semantics/builtins.k	9	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-INT
31	reference-semantics/semantics/builtins.k	10	imports		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	imports MPY-METHODS
32	reference-semantics/semantics/builtins.k	17	syntax	function	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Val ::= applyBuiltin(String, Vals) [function]
33	reference-semantics/semantics/builtins.k	20	syntax	function	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Int ::= seqLen(Val) [function]
34	reference-semantics/semantics/builtins.k	21	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
35	reference-semantics/semantics/builtins.k	22	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
36	reference-semantics/semantics/builtins.k	23	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
37	reference-semantics/semantics/builtins.k	24	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
38	reference-semantics/semantics/builtins.k	25	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
39	reference-semantics/semantics/builtins.k	26	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
40	reference-semantics/semantics/builtins.k	32	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
41	reference-semantics/semantics/builtins.k	33	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
