id	file	line	kind	attributes	target_scope	disposition	source
I0001	reference-semantics/semantics/assert.k	6	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
I0002	reference-semantics/semantics/assert.k	8	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
I0003	reference-semantics/semantics/assert.k	13	rule	priority	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
I0004	reference-semantics/semantics/bool.k	8	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
I0005	reference-semantics/semantics/bool.k	10	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
I0006	reference-semantics/semantics/bool.k	11	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue"
I0007	reference-semantics/semantics/bool.k	16	context		TARGET_UNUSED	ACCEPT_FIXED_EVALUATION_CONTEXT	context BoolOp(_, (HOLE:Expr, _:Exprs))
I0008	reference-semantics/semantics/bool.k	17	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
I0009	reference-semantics/semantics/bool.k	18	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
I0010	reference-semantics/semantics/bool.k	20	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
I0011	reference-semantics/semantics/bool.k	22	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
I0012	reference-semantics/semantics/bool.k	24	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure"
I0013	reference-semantics/semantics/bool.k	29	rule	priority	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
I0014	reference-semantics/semantics/bool.k	31	rule	priority	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
I0015	reference-semantics/semantics/bool.k	35	rule	priority	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
I0016	reference-semantics/semantics/bool.k	39	rule	priority	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
I0017	reference-semantics/semantics/bool.k	43	rule	priority	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
I0018	reference-semantics/semantics/builtins.k	17	syntax	function	TARGET_MATERIAL	ACCEPT_FIXED_DECLARATION	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
I0019	reference-semantics/semantics/builtins.k	20	syntax	function	TARGET_MATERIAL	ACCEPT_FIXED_DECLARATION	syntax Int ::= seqLen(Val) [function]
I0020	reference-semantics/semantics/builtins.k	21	rule		TARGET_MATERIAL	ACCEPT_FIXED_RULE_TARGET_MATERIAL	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
I0021	reference-semantics/semantics/builtins.k	22	rule		TARGET_MATERIAL	ACCEPT_FIXED_RULE_TARGET_MATERIAL	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
