# Exhaustive K rule/declaration inventory
source_files=26
inventory_items=937
category_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 699, 'syntax': 230}
flag_counts={'concrete': 35, 'function': 148, 'macro': 4, 'opaque/no-evaluators': 22, 'owise': 26, 'priority': 45, 'strictness': 2, 'symbol': 25, 'total': 108}
per_file_counts:
  /candidate/spec.k: {'claim': 2}
  /candidate/verification.k: {'flag:function': 3, 'flag:total': 1, 'rule': 4, 'syntax': 3}
  /reference/reference-semantics/semantics/assert.k: {'flag:priority': 1, 'rule': 3}
  /reference/reference-semantics/semantics/bool.k: {'context': 1, 'flag:priority': 5, 'rule': 13}
  /reference/reference-semantics/semantics/builtins.k: {'flag:function': 29, 'flag:opaque/no-evaluators': 1, 'flag:owise': 10, 'flag:priority': 1, 'flag:symbol': 1, 'flag:total': 22, 'rule': 137, 'syntax': 38}
  /reference/reference-semantics/semantics/call.k: {'flag:function': 1, 'flag:owise': 2, 'flag:priority': 5, 'flag:total': 1, 'rule': 21, 'syntax': 3}
  /reference/reference-semantics/semantics/comprehension.k: {'flag:macro': 3, 'rule': 7, 'syntax': 3}
  /reference/reference-semantics/semantics/concrete.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 1, 'rule': 16, 'syntax': 5}
  /reference/reference-semantics/semantics/controls.k: {'flag:owise': 3, 'flag:priority': 6, 'rule': 34, 'syntax': 3}
  /reference/reference-semantics/semantics/core.k: {'configuration': 1, 'flag:function': 15, 'flag:owise': 3, 'flag:priority': 2, 'flag:total': 10, 'rule': 46, 'syntax': 37}
  /reference/reference-semantics/semantics/dict.k: {'flag:function': 8, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 4, 'rule': 28, 'syntax': 12}
  /reference/reference-semantics/semantics/float.k: {'flag:concrete': 26, 'flag:function': 26, 'flag:opaque/no-evaluators': 19, 'flag:priority': 4, 'flag:symbol': 22, 'flag:total': 25, 'rule': 121, 'syntax': 34}
  /reference/reference-semantics/semantics/functions.k: {'flag:priority': 1, 'rule': 15, 'syntax': 4}
  /reference/reference-semantics/semantics/int.k: {'flag:function': 1, 'rule': 16, 'syntax': 1}
  /reference/reference-semantics/semantics/iter.k: {'syntax': 1}
  /reference/reference-semantics/semantics/list.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 2, 'rule': 27, 'syntax': 5}
  /reference/reference-semantics/semantics/methods.k: {'flag:function': 27, 'flag:owise': 4, 'flag:priority': 3, 'flag:total': 22, 'rule': 75, 'syntax': 27}
  /reference/reference-semantics/semantics/operators.k: {'context': 2, 'flag:owise': 1, 'flag:priority': 5, 'rule': 10}
  /reference/reference-semantics/semantics/range.k: {'flag:function': 2, 'flag:total': 1, 'rule': 6, 'syntax': 2}
  /reference/reference-semantics/semantics/set.k: {'flag:function': 5, 'flag:total': 5, 'rule': 12, 'syntax': 6}
  /reference/reference-semantics/semantics/sort.k: {'flag:concrete': 9, 'flag:function': 6, 'flag:opaque/no-evaluators': 2, 'flag:priority': 1, 'flag:symbol': 2, 'flag:total': 4, 'rule': 19, 'syntax': 6}
  /reference/reference-semantics/semantics/str.k: {'flag:function': 5, 'flag:total': 4, 'rule': 28, 'syntax': 5}
  /reference/reference-semantics/semantics/subscript.k: {'context': 2, 'flag:function': 13, 'flag:priority': 2, 'flag:total': 6, 'rule': 40, 'syntax': 15}
  /reference/reference-semantics/semantics/syntax.k: {'flag:macro': 1, 'flag:strictness': 2, 'syntax': 16}
  /reference/reference-semantics/semantics/tuple.k: {'flag:function': 1, 'flag:priority': 3, 'rule': 21, 'syntax': 4}

id	file	line	kind	flags	decision	complete_statement
K0001	/reference/reference-semantics/semantics/assert.k	6	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0002	/reference/reference-semantics/semantics/assert.k	8	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0003	/reference/reference-semantics/semantics/assert.k	13	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
K0004	/reference/reference-semantics/semantics/bool.k	8	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	/reference/reference-semantics/semantics/bool.k	10	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	/reference/reference-semantics/semantics/bool.k	11	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0007	/reference/reference-semantics/semantics/bool.k	16	context	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	/reference/reference-semantics/semantics/bool.k	17	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	/reference/reference-semantics/semantics/bool.k	18	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0010	/reference/reference-semantics/semantics/bool.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0011	/reference/reference-semantics/semantics/bool.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0012	/reference/reference-semantics/semantics/bool.k	24	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K0013	/reference/reference-semantics/semantics/bool.k	29	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	/reference/reference-semantics/semantics/bool.k	31	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0015	/reference/reference-semantics/semantics/bool.k	35	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
