file	line	module	kind	attributes	statement
reference-semantics/semantics/assert.k	3	MPY-ASSERT	module		module MPY-ASSERT
reference-semantics/semantics/assert.k	4	MPY-ASSERT	imports		imports MPY-CORE
reference-semantics/semantics/assert.k	6	MPY-ASSERT	rule		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8	MPY-ASSERT	rule		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13	MPY-ASSERT	rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/assert.k	16	MPY-ASSERT	endmodule		endmodule
reference-semantics/semantics/bool.k	5	MPY-BOOL	module		module MPY-BOOL
reference-semantics/semantics/bool.k	6	MPY-BOOL	imports		imports MPY-CORE
reference-semantics/semantics/bool.k	8	MPY-BOOL	rule		"rule applyUn(""not"", V:Val) => notBool truthy(V)"
reference-semantics/semantics/bool.k	10	MPY-BOOL	rule		"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
reference-semantics/semantics/bool.k	11	MPY-BOOL	rule		"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
reference-semantics/semantics/bool.k	16	MPY-BOOL	context		context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17	MPY-BOOL	rule		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	MPY-BOOL	rule		"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k	20	MPY-BOOL	rule		"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
reference-semantics/semantics/bool.k	22	MPY-BOOL	rule		"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k	24	MPY-BOOL	rule		"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
reference-semantics/semantics/bool.k	29	MPY-BOOL	rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	MPY-BOOL	rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	35	MPY-BOOL	rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	39	MPY-BOOL	rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	43	MPY-BOOL	rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	47	MPY-BOOL	endmodule		endmodule
reference-semantics/semantics/builtins.k	3	MPY-BUILTINS	module		module MPY-BUILTINS
reference-semantics/semantics/builtins.k	4	MPY-BUILTINS	imports		imports MPY-CORE
reference-semantics/semantics/builtins.k	5	MPY-BUILTINS	imports		imports MPY-STR
reference-semantics/semantics/builtins.k	6	MPY-BUILTINS	imports		imports MPY-SET
reference-semantics/semantics/builtins.k	7	MPY-BUILTINS	imports		imports MPY-ITER
reference-semantics/semantics/builtins.k	8	MPY-BUILTINS	imports		imports MPY-RANGE
reference-semantics/semantics/builtins.k	9	MPY-BUILTINS	imports		imports MPY-INT
reference-semantics/semantics/builtins.k	10	MPY-BUILTINS	imports		imports MPY-METHODS
reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	syntax	function	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21	MPY-BUILTINS	rule		"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
reference-semantics/semantics/builtins.k	22	MPY-BUILTINS	rule		rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	23	MPY-BUILTINS	rule		rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	24	MPY-BUILTINS	rule		rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	25	MPY-BUILTINS	rule		rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	26	MPY-BUILTINS	rule		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	32	MPY-BUILTINS	rule		"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k	33	MPY-BUILTINS	rule		"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k	34	MPY-BUILTINS	rule		"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
reference-semantics/semantics/builtins.k	35	MPY-BUILTINS	rule		"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
