id	file	line	end_line	module	kind	tags	text	disposition	rationale
K0001	reference-semantics/semantics/assert.k	6	7	MPY-ASSERT	rule	ordinary	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0002	reference-semantics/semantics/assert.k	8	12	MPY-ASSERT	rule	ordinary	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0003	reference-semantics/semantics/assert.k	13	15	MPY-ASSERT	rule	priority,ordinary	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0004	reference-semantics/semantics/bool.k	8	9	MPY-BOOL	rule	ordinary	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0005	reference-semantics/semantics/bool.k	10	10	MPY-BOOL	rule	ordinary	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0006	reference-semantics/semantics/bool.k	11	15	MPY-BOOL	rule	ordinary	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0007	reference-semantics/semantics/bool.k	16	16	MPY-BOOL	context		context BoolOp(_, (HOLE:Expr, _:Exprs))	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0008	reference-semantics/semantics/bool.k	17	17	MPY-BOOL	rule	ordinary	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0009	reference-semantics/semantics/bool.k	18	19	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0010	reference-semantics/semantics/bool.k	20	21	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
