location	extension	class	domain	static_decision	evidence
verification.k:9	allInts declaration [function,total]	definitional summary	all ValSeq	VALID declaration coverage is supplied by the three following equations	constructors .ValSeq and vCons(Val,ValSeq) are exhaustive
verification.k:10	allInts(.ValSeq) => true	definitional equation	empty sequence	VALID	empty sequence contains only integers
verification.k:11	allInts(vCons(Int,VS)) => allInts(VS)	definitional equation	integer head	VALID	recursive descent removes one constructor
verification.k:12	allInts(vCons(Val,VS)) => false [owise]	definitional equation	non-integer head after priority/owise	VALID	disjoint fallback
verification.k:14	magnitudeAcc declaration [function,total]	definitional summary	all ValSeq x Int	COVERAGE GAP: total is not supported for sequences containing a non-Int	its equations are valid on the all-integer entry domain
verification.k:15	magnitudeAcc(.ValSeq,A) => A	definitional equation	empty sequence	VALID	left-fold base case
verification.k:16-18	magnitudeAcc(vCons(I,VS),A) => magnitudeAcc(VS,A-I)	definitional equation	I < 0	VALID	A-I adds abs(I)
verification.k:19-21	magnitudeAcc(vCons(I,VS),A) => magnitudeAcc(VS,A+I)	definitional equation	I >= 0	VALID	disjoint from negative case and adds abs(I)
verification.k:23	signAcc declaration [function,total]	definitional summary	all ValSeq x Int	COVERAGE GAP: total is not supported for sequences containing a non-Int	its equations are valid on the all-integer entry domain
verification.k:24	signAcc(.ValSeq,S) => S	definitional equation	empty sequence	VALID	left-fold base case
verification.k:25-27	signAcc(vCons(I,VS),S) => signAcc(VS,0-S)	definitional equation	I < 0	VALID	multiplies accumulator by -1
verification.k:28-29	signAcc(vCons(0,VS),S) => signAcc(VS,0)	definitional equation	I = 0	VALID	multiplies accumulator by zero
verification.k:30-32	signAcc(vCons(I,VS),S) => signAcc(VS,S)	definitional equation	I > 0	VALID	disjoint positive case
verification.k:34-36	magnitudeSum/signProduct/lastInt declarations [function,total]	definitional summaries	all ValSeq	COVERAGE GAP: lastInt has no empty/non-Int equation and the two folds inherit non-Int gaps	uses in target claims are all-integer; lastInt is used only on nonempty lists
verification.k:37	magnitudeSum(VS) => magnitudeAcc(VS,0)	definitional equation	all ValSeq	VALID AS AN EQUATION	delegated function may be underdefined off-domain
verification.k:38	signProduct(VS) => signAcc(VS,1)	definitional equation	all ValSeq	VALID AS AN EQUATION	delegated function may be underdefined off-domain
verification.k:39	lastInt(vCons(I,.ValSeq)) => I	definitional equation	singleton integer sequence	VALID	last element of singleton
verification.k:40-41	lastInt(vCons(I,vCons(J,VS))) => lastInt(vCons(J,VS))	definitional equation	at least two integer elements	VALID	recursive descent removes one constructor
verification.k:45	prodSignsFunction [macro]	macro alias	exact submitted closure	VALID	krun-solution-load.log prints the submitted closure and it matches the macro body and defining environment
verification.k:46-68	prodSignsFunction => closureVal(...)	macro equation	exact submitted closure	VALID	the trusted translator regenerated solution.mpy byte-identically
verification.k:74-105	priority-40 For summary	operational bridge	all matching nonempty integer lists with total/sign Int bindings	INVALID: complete match domain is broader than fixed-semantics equivalence	cell-witness-bridge.log proves the false state transition; cell-witness-fixed.log rejects it and displays the actual cell-preserving transition
