COMMAND: python3 /audit-output/evidence/differential_test.py
oracle=/reference/canonical.py:check_if_last_char_is_a_letter
candidate=/tmp/audit-work/source/solution.py:check_if_last_char_is_a_letter
fixed_cases=25
exhaustive_scope=all strings of lengths 0..4 over ['a', 'Z', '0', ' ', '\t', 'é', 'α']
random_scope=40 strings per length 0..12, seed=134, alphabet=['a', 'Z', '0', ' ', '\t', 'é', 'α', '_', '-', 'K', 'İ', '\n']
unique_cases=3232
mismatch_count=129
MISMATCH input='é' canonical=('return', False) candidate=('return', True)
MISMATCH input='α' canonical=('return', False) candidate=('return', True)
MISMATCH input='İ' canonical=('raise', 'TypeError', 'ord() expected a character, but string of length 2 found') candidate=('return', True)
MISMATCH input='x é' canonical=('return', False) candidate=('return', True)
MISMATCH input='x α' canonical=('return', False) candidate=('return', True)
MISMATCH input='x ſ' canonical=('return', False) candidate=('return', True)
MISMATCH input=' é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' α' canonical=('return', False) candidate=('return', True)
MISMATCH input='a é' canonical=('return', False) candidate=('return', True)
MISMATCH input='a α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0 é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='  é' canonical=('return', False) candidate=('return', True)
MISMATCH input='  α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t α' canonical=('return', False) candidate=('return', True)
MISMATCH input='é é' canonical=('return', False) candidate=('return', True)
MISMATCH input='é α' canonical=('return', False) candidate=('return', True)
MISMATCH input='α é' canonical=('return', False) candidate=('return', True)
MISMATCH input='α α' canonical=('return', False) candidate=('return', True)
MISMATCH input='aa é' canonical=('return', False) candidate=('return', True)
MISMATCH input='aa α' canonical=('return', False) candidate=('return', True)
MISMATCH input='aZ é' canonical=('return', False) candidate=('return', True)
MISMATCH input='aZ α' canonical=('return', False) candidate=('return', True)
MISMATCH input='a0 é' canonical=('return', False) candidate=('return', True)
MISMATCH input='a0 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='a  é' canonical=('return', False) candidate=('return', True)
MISMATCH input='a  α' canonical=('return', False) candidate=('return', True)
MISMATCH input='a\t é' canonical=('return', False) candidate=('return', True)
MISMATCH input='a\t α' canonical=('return', False) candidate=('return', True)
MISMATCH input='aé é' canonical=('return', False) candidate=('return', True)
MISMATCH input='aé α' canonical=('return', False) candidate=('return', True)
MISMATCH input='aα é' canonical=('return', False) candidate=('return', True)
MISMATCH input='aα α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Za é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Za α' canonical=('return', False) candidate=('return', True)
MISMATCH input='ZZ é' canonical=('return', False) candidate=('return', True)
MISMATCH input='ZZ α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z0 é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z0 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z  é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z  α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z\t é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Z\t α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Zé é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Zé α' canonical=('return', False) candidate=('return', True)
MISMATCH input='Zα é' canonical=('return', False) candidate=('return', True)
MISMATCH input='Zα α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0a é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0a α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0Z é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0Z α' canonical=('return', False) candidate=('return', True)
MISMATCH input='00 é' canonical=('return', False) candidate=('return', True)
MISMATCH input='00 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0  é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0  α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0\t é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0\t α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0é é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0é α' canonical=('return', False) candidate=('return', True)
MISMATCH input='0α é' canonical=('return', False) candidate=('return', True)
MISMATCH input='0α α' canonical=('return', False) candidate=('return', True)
MISMATCH input=' a é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' a α' canonical=('return', False) candidate=('return', True)
MISMATCH input=' Z é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' Z α' canonical=('return', False) candidate=('return', True)
MISMATCH input=' 0 é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' 0 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='   é' canonical=('return', False) candidate=('return', True)
MISMATCH input='   α' canonical=('return', False) candidate=('return', True)
MISMATCH input=' \t é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' \t α' canonical=('return', False) candidate=('return', True)
MISMATCH input=' é é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' é α' canonical=('return', False) candidate=('return', True)
MISMATCH input=' α é' canonical=('return', False) candidate=('return', True)
MISMATCH input=' α α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\ta é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\ta α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\tZ é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\tZ α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t0 é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t0 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t  é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t  α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t\t é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\t\t α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\té é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\té α' canonical=('return', False) candidate=('return', True)
MISMATCH input='\tα é' canonical=('return', False) candidate=('return', True)
MISMATCH input='\tα α' canonical=('return', False) candidate=('return', True)
MISMATCH input='éa é' canonical=('return', False) candidate=('return', True)
MISMATCH input='éa α' canonical=('return', False) candidate=('return', True)
MISMATCH input='éZ é' canonical=('return', False) candidate=('return', True)
MISMATCH input='éZ α' canonical=('return', False) candidate=('return', True)
MISMATCH input='é0 é' canonical=('return', False) candidate=('return', True)
MISMATCH input='é0 α' canonical=('return', False) candidate=('return', True)
MISMATCH input='é  é' canonical=('return', False) candidate=('return', True)
MISMATCH input='é  α' canonical=('return', False) candidate=('return', True)
MISMATCH_OUTPUT_TRUNCATED remaining=29
EXIT_STATUS: 0
