index	candidate_definition	kore_symbol	source_rule_ids	independent_operational_judgment	result
0	Proof.lean:107 _andBool_	Lbl'Unds'andBool'Unds'	rule-c3d4bdc727e825560b34733f473eca514ee7daf812bf838c8e485dc9499825dc	Boolean conjunction exactly implements the supplied K guard joining the two isInt observations; false/true combinations were exercised.	PASS
1	Proof.lean:109 «_>Int_»	Lbl'Unds-GT-'Int'Unds'	rule-835c8361eaef00ebfc5566f8c0006f3fcda1381710a9abd174ceefbad2243388	Lean integer greater-than exactly implements >Int; positive, zero, and negative comparisons were exercised.	PASS
2	Proof.lean:111 «_+Int_»	Lbl'UndsPlus'Int'Unds'	rule-04549f60991829d3658a3f2aa1db8529f345e1f464cd668bbe8ba2f031f4ed18	Lean integer addition exactly implements +Int in the dtd recurrence.	PASS
3	Proof.lean:113 «_*Int_»	Lbl'UndsStar'Int'Unds'	rule-c3d4bdc727e825560b34733f473eca514ee7daf812bf838c8e485dc9499825dc	Lean integer multiplication exactly implements *Int; 5 * -4 = -20 was exercised.	PASS
4	Proof.lean:115 «applyBin(_,_,_)_MPY-CORE_Val_String_Val_Val»	LblapplyBin'LParUndsCommUndsCommUndsRParUnds'MPY-CORE'Unds'Val'Unds'String'Unds'Val'Unds'Val	rule-2dd919bc012c069b3c8fffc3cbdb9c9070068f0c8eca42acdc492a3b3db5315a; rule-c3d4bdc727e825560b34733f473eca514ee7daf812bf838c8e485dc9499825dc	The bound source cases are exact: Int % Int injects the supplied Python-style remainder and Int * Int injects the product. Negative remainder (-3 % 2 = 1), multiplication, and mismatched fallback were exercised.	PASS
5	Proof.lean:172 «applyCmp(_,_,_)_MPY-CORE_Bool_String_Val_Val»	LblapplyCmp'LParUndsCommUndsCommUndsRParUnds'MPY-CORE'Unds'Bool'Unds'String'Unds'Val'Unds'Val	rule-835c8361eaef00ebfc5566f8c0006f3fcda1381710a9abd174ceefbad2243388	The bound source case ">" on two injected Int values exactly implements the supplied dispatch; representative true and false comparisons were exercised.	PASS
6	Proof.lean:248 «definedProjectInt(_)_VERIFICATION-SYNTAX_Bool_Val»	LbldefinedProjectInt'LParUndsRParUnds'VERIFICATION-SYNTAX'Unds'Bool'Unds'Val	rule-0312858a8718cb93d212cdb7b679a2875534dc14191dff8edf7bccf9a96d8b43	True exactly for the generated Int injection, matching definedness of the K Int projection; Int, Float, Bool, and other constructors were distinguished.	PASS
7	Proof.lean:252 «dtd(_)_VERIFICATION-SYNTAX_Int_ValSeq»	Lbldtd'LParUndsRParUnds'VERIFICATION-SYNTAX'Unds'Int'Unds'ValSeq	rule-04549f60991829d3658a3f2aa1db8529f345e1f464cd668bbe8ba2f031f4ed18; rule-663dfaf9b65e6ba3e1928de01c21ec78aeceec06ef94896d881e0da14372c17c	The recursion is 0 on empty, adds oddIntSquare for Int heads, and skips Float/other heads, exactly matching all four frozen dtd defining rules. A mixed sequence [1.5,5,4.0,-3,7] evaluated to 74.	PASS
8	Proof.lean:263 isFloat	LblisFloat	rule-663dfaf9b65e6ba3e1928de01c21ec78aeceec06ef94896d881e0da14372c17c	True exactly for a singleton injected Float K item and false otherwise, matching the K sort observation used by the guarded recurrence.	PASS
9	Proof.lean:267 isInt	LblisInt	rule-04549f60991829d3658a3f2aa1db8529f345e1f464cd668bbe8ba2f031f4ed18; rule-e0cb703bc5de627528842cad9c26edce5c5ccfba97a015cd76b3ffa227523e1e; rule-835c8361eaef00ebfc5566f8c0006f3fcda1381710a9abd174ceefbad2243388; rule-2dd919bc012c069b3c8fffc3cbdb9c9070068f0c8eca42acdc492a3b3db5315a; rule-c3d4bdc727e825560b34733f473eca514ee7daf812bf838c8e485dc9499825dc	True exactly for a singleton injected Int K item and false otherwise, matching the supplied sort predicate and every guard that binds it.	PASS
10	Proof.lean:271 «isIntV(_)_MPY-BUILTINS_Bool_Val»	LblisIntV'LParUndsRParUnds'MPY-BUILTINS'Unds'Bool'Unds'Val	rule-e0cb703bc5de627528842cad9c26edce5c5ccfba97a015cd76b3ffa227523e1e	True exactly on SortVal Int and false on Bool/Float/other values, matching the frozen SUPPLIED_SEMANTICS rule isIntV(V) = isInt(V). The Bool boundary was tested explicitly.	PASS
11	Proof.lean:275 «oddIntSquare(_)_VERIFICATION-SYNTAX_Int_Int»	LbloddIntSquare'LParUndsRParUnds'VERIFICATION-SYNTAX'Unds'Int'Unds'Int	rule-04549f60991829d3658a3f2aa1db8529f345e1f464cd668bbe8ba2f031f4ed18	Returns i*i iff i > 0 and supplied pyMod(i,2)=1, else 0. Values 5, -3, 0, and even values were exercised.	PASS
12	Proof.lean:278 projectIntTotal	LblprojectIntTotal	rule-04549f60991829d3658a3f2aa1db8529f345e1f464cd668bbe8ba2f031f4ed18; rule-9e1486b6d25b62bd0949213fd58d7aac97ed89cc3e87b8c5063f915d1d6b7081; rule-835c8361eaef00ebfc5566f8c0006f3fcda1381710a9abd174ceefbad2243388; rule-2dd919bc012c069b3c8fffc3cbdb9c9070068f0c8eca42acdc492a3b3db5315a; rule-c3d4bdc727e825560b34733f473eca514ee7daf812bf838c8e485dc9499825dc	Returns the embedded Int on the defined domain and a fixed default otherwise. This implements the frozen guarded projection alias and its idempotent totalization; only guarded Int results affect source execution. Int and non-Int cases were exercised.	PASS
13	Proof.lean:281 «pyMod(_,_)_MPY-INT_Int_Int_Int»	LblpyMod'LParUndsCommUndsRParUnds'MPY-INT'Unds'Int'Unds'Int'Unds'Int	rule-2dd919bc012c069b3c8fffc3cbdb9c9070068f0c8eca42acdc492a3b3db5315a	Implements the supplied two-remainder Python modulo formula, with total default at zero divisor. The source divisor is fixed to 2; negative dividends and both parities were exercised.	PASS
14	Proof.lean:284 «project:Int?»	Lblproject'Coln'Int	rule-0312858a8718cb93d212cdb7b679a2875534dc14191dff8edf7bccf9a96d8b43	Returns some i exactly for the singleton injected Int K term and none otherwise, matching the partial K projection whose definedness is classified.	PASS
