id	file	line	kind	attributes	disposition	rationale	entry
1	reference-semantics/semantics/assert.k	3	module	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	module MPY-ASSERT
2	reference-semantics/semantics/assert.k	4	imports	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	imports MPY-CORE
3	reference-semantics/semantics/assert.k	6	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
4	reference-semantics/semantics/assert.k	8	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
5	reference-semantics/semantics/assert.k	13	rule	priority	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
6	reference-semantics/semantics/assert.k	16	endmodule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	endmodule
7	reference-semantics/semantics/bool.k	5	module	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	module MPY-BOOL
8	reference-semantics/semantics/bool.k	6	imports	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	imports MPY-CORE
9	reference-semantics/semantics/bool.k	8	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule applyUn("not", V:Val) => notBool truthy(V)
10	reference-semantics/semantics/bool.k	10	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
11	reference-semantics/semantics/bool.k	11	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
12	reference-semantics/semantics/bool.k	16	context	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	context BoolOp(_, (HOLE:Expr, _:Exprs))
13	reference-semantics/semantics/bool.k	17	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
14	reference-semantics/semantics/bool.k	18	rule	-	FIXED_SUPPLIED_UNUSED	Type-and-byte-identical trusted supplied-semantics entry; not reachable from the submitted program's construct slice and adds no candidate-local proof power.	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
