solution_construct	declaration	fixed_semantics_rules	proof-path_observation
Module	reference-semantics/semantics/syntax.k:61	reference-semantics/semantics/core.k:124-127	Submitted Module is not loaded by spec.k; direct closure invocation is substituted.
ImportFrom("typing",...)	reference-semantics/semantics/syntax.k:43	reference-semantics/semantics/controls.k:35-44	Would be an owise no-op, but is skipped because Module is not loaded.
FuncDef	reference-semantics/semantics/syntax.k:53-54	reference-semantics/semantics/functions.k:14-16	Would bind a closure, but spec.k manually constructs closureVal instead.
closure call / parameters	reference-semantics/semantics/core.k:185-188	reference-semantics/semantics/call.k:69-75; reference-semantics/semantics/functions.k:63-66	Used by the entry claim; allocates scope 1 and binds numbers.
Expr(Str(...))	reference-semantics/semantics/syntax.k:13,52	reference-semantics/semantics/str.k:8-17; reference-semantics/semantics/controls.k:48	Docstring evaluates and is discarded.
Name lookup	reference-semantics/semantics/syntax.k:12	reference-semantics/semantics/core.k:130-154	Used for numbers, locals, and len.
Assign(Name,...)	reference-semantics/semantics/syntax.k:41	reference-semantics/semantics/controls.k:9-18	Used for initialization and local state changes.
Subscript(list,index)	reference-semantics/semantics/syntax.k:22	reference-semantics/semantics/subscript.k:11-14,27-41	Used for numbers[0], numbers[1], and loop pair access; proof-local line 80 specializes symbolic Float lists.
Int literal	reference-semantics/semantics/syntax.k:9	reference-semantics/semantics/core.k:194	Used for indices 0 and 1.
Float values	reference-semantics/semantics/core.k:25; reference-semantics/semantics/float.k:20	reference-semantics/semantics/float.k:21	Input Float values are already Val terms in the entry claim.
If	reference-semantics/semantics/syntax.k:49	reference-semantics/semantics/controls.k:51-54	Initial ordering If executes symbolically; loop-body If statements are skipped by the bridge.
Compare	reference-semantics/semantics/syntax.k:30,32	reference-semantics/semantics/operators.k:15-20	Dispatches >, <, and ==.
Float > / <	reference-semantics/semantics/float.k:50,125	reference-semantics/semantics/float.k:51-52,126-129	gtF and floatLt are trusted opaque proof-domain primitives with concrete LLVM evaluators.
BinOp subtraction	reference-semantics/semantics/syntax.k:15	reference-semantics/semantics/operators.k:12; reference-semantics/semantics/int.k:13; reference-semantics/semantics/float.k:103-105	len-1 is integer; pair gaps use opaque subF, but loop gap computations are skipped in the symbolic proof.
Call(len,...)	reference-semantics/semantics/syntax.k:28	reference-semantics/semantics/call.k:20-32; reference-semantics/semantics/builtins.k:17-26	Appears in the loop condition/body; the candidate bridge fires before the loop condition in the symbolic proof.
TupleExpr	reference-semantics/semantics/syntax.k:21	reference-semantics/semantics/tuple.k:14-18	Builds swap RHS and returned pair.
Tuple assignment	reference-semantics/semantics/syntax.k:41	reference-semantics/semantics/tuple.k:31-57	Used for initial and per-pair ordering; loop-body use is skipped by bridge.
While	reference-semantics/semantics/syntax.k:46	reference-semantics/semantics/controls.k:65-82	Fixed While rules are preempted by verification.k:201-223 at priority 40.
AugAssign integer +	reference-semantics/semantics/syntax.k:44	reference-semantics/semantics/controls.k:20-31; reference-semantics/semantics/int.k:9	Used for i/j increments only in displaced loop execution.
Int == / <	reference-semantics/semantics/int.k:22-27	reference-semantics/semantics/operators.k:17; reference-semantics/semantics/int.k:22-27	Used in loop condition and wrap test only in displaced loop execution.
Return	reference-semantics/semantics/syntax.k:50	reference-semantics/semantics/functions.k:78-90	Executes after the bridge and returns the bridge-written best_low/best_high.
Configuration cells	reference-semantics/semantics/core.k:49-60	reference-semantics/semantics/call.k:69-75; reference-semantics/semantics/functions.k:85-90	Entry claim pins empty heap/stack, env 0, scopeLoc 1, and builtins; call/pop restores them.
