boundary	classification	affects	dependents	evidence	audit_decision
Trusted supplied reference-semantics/	Fixed selected semantics	control,state,values,exceptions,allocation	All concrete and proof execution	01-integrity.log proves byte/type/tree identity; 04/05 rebuild logs	Acceptable by SUPPLIED_SEMANTICS authority; used rules mapped in used_construct_map.tsv.
K v7.1.337 toolchain and builtin Int/Bool/Map/List theories	Toolchain trust	All rewriting and proof results	All claims	04-kompile-runtime.log; 05-kompile-verification.log; 06-kprove-positive.log	Ordinary unavoidable machine-checking trust.
Trusted /reference/py2mpy.py	Translation bridge	Program AST	solution.mpy identity	02-regenerate-mpy.log	Acceptable: byte-identical regeneration, but does not link solution.mpy to findClosestBody.
Trusted /reference/canonical.py	Executable intent oracle	Expected outputs	Differential and witnesses	03-differential.log; 14-formal-substitution.log	Finite executable oracle, not a universal K theorem.
gtF, floatLt, subF and other MPY-FLOAT opaque symbols	Supplied trusted primitives	branches and pair gaps	Initial ordering and scan equations	reference-semantics/semantics/float.k; concrete LLVM runs	Acceptable only as part of the selected supplied semantics; symbolic proofs are conditional on their supplied contracts.
findClosestBody	Manual proof-local program copy	control and return	entry-point claim	08-harness-fidelity.log; 15-body-sensitivity.log	Concerning/illegitimate pinning boundary: text matches now, but the proof never reads solution.mpy and survives its mutation.
floatAt, floatValAt, scanPairs, scanPairsVS proof-local totalizations	Proof-local abstractions	values in summaries	closestLowVS/closestHighVS	k_inventory_review.tsv; LLVM compile warnings in 12-kompile-verification-llvm.log	Limited outside valid indices/Float lists; intended entry calls stay within the valid invariant.
closestLowVS and closestHighVS	Program-derived result-bearing opaque symbols	final return and postcondition	entry-point claim	verification.k:185-200; 17-vacuity-proof.log	Illegitimate as symbolic connection: concrete evaluator equations do not establish the program-derived value universally.
priority loop rule verification.k:201-223	Operational bridge	control and all loop locals	entry-point claim	20b-operational-sensitivity.log; 21-operational-mutation-compare.log; 27-kprove-no-bridge-depth.log	Illegitimate: it skips the property-bearing loop and assumes the scan summary without a bridge-free connection theorem.
Python/K concrete differential suites	Empirical bridge	implementation-to-intent and finite ground semantics	Adequacy only	03-differential.log; 10-krun-concrete.log; 13-krun-bridge-enabled.log	Supportive finite evidence; cannot replace the missing reachability connection proof.
Natural-language “closest pair” meaning	Informal intent bridge	postcondition adequacy	Problem-level conclusion	prompt.py; canonical.py; 03-differential.log	Exhaustive scan is plausibly equivalent and extensively tested, but not formally proved inside K.
