56:55	reference-semantics/semantics/assert.k	13	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
69:68	reference-semantics/semantics/bool.k	29	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
70:69	reference-semantics/semantics/bool.k	31	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
71:70	reference-semantics/semantics/bool.k	35	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
72:71	reference-semantics/semantics/bool.k	39	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
73:72	reference-semantics/semantics/bool.k	43	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
246:245	reference-semantics/semantics/builtins.k	280	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Call(Attribute(Name(""hashlib""), ""md5""), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]"
250:249	reference-semantics/semantics/builtins.k	285	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators] // ==== isinstance(V, int|str) — an ordinary 2-arg builtin =================== // The type argument (int/str) is an ordinary name that resolves via the builtins frame to // typeV (see core.k's config); no Call-level special case. isIntV/isStrV mirror the old // owise-on-Val test (concrete-sort args decide; a symbolic Val stays owise, as before).
275:274	reference-semantics/semantics/call.k	38	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
276:275	reference-semantics/semantics/call.k	42	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]
277:276	reference-semantics/semantics/call.k	47	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
