COMMAND_TEMPLATE: krun solution.mpy -cN=<n> --definition concrete-kompiled --output pretty
WORKDIR: /tmp/audit-work/reconstruction
INPUTS: [1, 3, 9, 10, 11, 12, 99, 100, 101, 109, 110, 111, 121, 199, 200, 201, 202, 989, 999, 1000]
n=1 exit=0 k_result=(0, 1) python_result=(0, 1) return_reset=noReturn match=True
n=3 exit=0 k_result=(1, 2) python_result=(1, 2) return_reset=noReturn match=True
n=9 exit=0 k_result=(4, 5) python_result=(4, 5) return_reset=noReturn match=True
n=10 exit=0 k_result=(4, 5) python_result=(4, 5) return_reset=noReturn match=True
n=11 exit=0 k_result=(4, 6) python_result=(4, 6) return_reset=noReturn match=True
n=12 exit=0 k_result=(4, 6) python_result=(4, 6) return_reset=noReturn match=True
n=99 exit=0 k_result=(8, 10) python_result=(8, 10) return_reset=noReturn match=True
n=100 exit=0 k_result=(8, 10) python_result=(8, 10) return_reset=noReturn match=True
n=101 exit=0 k_result=(8, 11) python_result=(8, 11) return_reset=noReturn match=True
n=109 exit=0 k_result=(8, 11) python_result=(8, 11) return_reset=noReturn match=True
n=110 exit=0 k_result=(8, 11) python_result=(8, 11) return_reset=noReturn match=True
n=111 exit=0 k_result=(8, 12) python_result=(8, 12) return_reset=noReturn match=True
n=121 exit=0 k_result=(8, 13) python_result=(8, 13) return_reset=noReturn match=True
n=199 exit=0 k_result=(8, 20) python_result=(8, 20) return_reset=noReturn match=True
n=200 exit=0 k_result=(8, 20) python_result=(8, 20) return_reset=noReturn match=True
n=201 exit=0 k_result=(8, 20) python_result=(8, 20) return_reset=noReturn match=True
n=202 exit=0 k_result=(9, 20) python_result=(9, 20) return_reset=noReturn match=True
n=989 exit=0 k_result=(48, 59) python_result=(48, 59) return_reset=noReturn match=True
n=999 exit=0 k_result=(48, 60) python_result=(48, 60) return_reset=noReturn match=True
n=1000 exit=0 k_result=(48, 60) python_result=(48, 60) return_reset=noReturn match=True
failure_count=0
EXIT_STATUS: 0
