simplification_rule_count 31
policy PASS
violations []
rule-325f8763b0f9ebf70b1270bd3bba472aab9a4ec71a3068e8d7b1d1cb3461b269 DEFINITION
rule-69f22f1dc46a18bcb0698c3eeb6639ad3acccc284d8332f8c1a70eded4fb0ad1 DEFINITION
rule-d980beac5e2b26d5467cd5634a592522ea2345f3b93c99124ff77af12a091a56 DEFINITION
rule-88764d4eb20f77c90455d8ba1dd53a6b491bd6841a024a79f41f6fb9702d96be DEFINITION
rule-f408d2d20d79ab665a015956a0a25ab28ed045f1fd196b13daf1edfb2661b297 DEFINITION
rule-3bc3a0372e2e5b74c0f6a04762b2c0f3a59ff50590a547ebec6b5f94f0f97a27 DEFINITION
rule-8d339ac1715b7b5611efc646ddf775f3315b130aabe21f92f61ebc071e442412 DEFINITION
rule-8175d02402aea688af01b7c3cc64d23ef034e697358704036b4192701ff11a95 DEFINITION
rule-ec16299584036b4cf22a42e1dcca71c1db40f02c2d305ab75b2bb23c2e4a3d2b DEFINITION
rule-dac1bd213f833dc9b111b58411a62120844d78a12ed3adc19feb4048dcb0e285 DEFINITION
rule-f064234445c8094f1b5276472885cf8042c51407e1863f8e6bdcc440e8d54fad DEFINITION
rule-0c608830c5baca550ccdcebea1e02106a5a30a1e574bb80325ca7040f559f9bb DEFINITION
rule-85be9b531d4380ba832fc513917bb65d96f0e38915dcb836cfd016c265fe8eb8 DEFINITION
rule-aa69bb82e647427906fcf5aee6f39f70db593fbf1817308e53a64d84edd7f7eb DEFINITION
rule-126c1b315433d92c0f26daaada7cea5b4b32a077c123d2efbfced0036f383fe0 DEFINITION
rule-d7f64dd1b55da1505ef39ae6d01a0e8c7d1e4e056f9c776e4ac0e15fe2c2290d DEFINITION
rule-7191d5f6c9756673cca00b440958222ca4d2d1d3d4e18cbc994313a0f4340442 DEFINITION
rule-922b2e2888783e27d234040e4262dbe10f3037613f55fea887ddbe7a17d200da DEFINITION
rule-ec583fc3f12bafee23d7f302c742e52ce776b44b86fb0ae71114dc6dcdb3bb9f DOMAIN_LEMMA
rule-90eb7f013a9e927996889600de0ac06a1c48fe1f32ff329772fa38b5022a8a28 DOMAIN_LEMMA
rule-621b8a32f9f2565b395727e275cf826a343441f0706f4de9a43e9cc371c54a35 DEFINITION
rule-4906aa4a693fd57dec2e847d806442243769c98457f1af072082f43c2160400a DEFINITION
rule-3905ebe2499ea5ede82420688c2f2bdadaaf27ab8b44aef52876a9281ba13c4e DOMAIN_LEMMA
rule-223d04d630bd21ce9624149f41397f24c0af78120813951d1f3ef073273e8a83 DOMAIN_LEMMA
rule-64da4543da040ecadafcb80fe5586bccd61f336d51e2d69f8be37eff9757ed31 DEFINITION
rule-21926f30458bdbc942cadfe77a2eec5094bd3ab7c432ddd5766b3c783d81fa4e DEFINITION
rule-aea328b93abee3d0539e019d0745462924337ff6c0e980f560da1a6fa1c0b72e DOMAIN_LEMMA
rule-725c0275ed9c194a24cc6686a7d8ac0e05163edac4687c027a68f98431430868 DOMAIN_LEMMA
rule-a0e116690579a038c18ab996ecb949fb9a9aaa7e8b1ea852e080495da97aa938 DEFINITION
rule-cedd10071309ad23f0a9c25420b6c135c415ccaa18e27cbe573ac3d577eb492e DEFINITION
rule-82314b210da1b2e71ed9cacdc03ed14b6f144d73a7db17b8f0b5688eb4d30e92 DOMAIN_LEMMA
