parameter	Proof.lean lines	operational meaning and adversarial check	judgment
_andBool_	6	K BOOL.and truth table; all four cases evaluated.	PASS
«floatV(_)_VERIFICATION-SYNTAX_Bool_Val»	44-46	Exact verification.k Float classifier: Float membership with Int/Bool exclusion; Int, Bool, Float, and nonnumeric witnesses evaluated.	PASS
intLikeTotal	48	Int maps to itself and Bool maps false/true to 0/1, matching its two frozen defining rules on their complete domain; negative and positive Int plus both Bool cases evaluated.	PASS
«intOf(_)_MPY-BUILTINS_Int_Val»	50-54	Matches supplied builtins.k rules intOf(I)=I and intOf(B)=if B then 1 else 0; negative/positive Int and both Bool cases evaluated. The off-domain branch is outside every operational rule and target guard.	PASS
«integralV(_)_VERIFICATION-SYNTAX_Bool_Val»	56-60	Exact disjoint Int-or-Bool classifier with Float exclusion; numeric and nonnumeric witnesses evaluated.	PASS
isBool	62	Definedness of the Bool projection on a singleton K computation; true only for Bool injection, false for other values and a non-value continuation.	PASS
isFloat	64	Definedness of the Float projection on a singleton K computation; true only for Float injection, false for other values and a non-value continuation.	PASS
isInt	66	Definedness of the Int projection on a singleton K computation; true only for Int injection, false for other values and a non-value continuation.	PASS
notBool_	68	K BOOL.not truth table; both cases evaluated.	PASS
«project:Bool»	70-71	Extracts the Bool injection on the defined domain. The default is only a total Lean completion where the frozen K projection is undefined; definedness is separately carried by project:Bool?.	PASS
«project:Float»	73-74	Extracts the Float injection on the defined domain. The default is only an off-domain total completion; Float extraction was evaluated at 1.5.	PASS
«project:Int»	76-77	Extracts the Int injection on the defined domain. Negative Int extraction was evaluated; a coordinated-constant counterfactual shows why this value was checked independently.	PASS
projectBoolTotal	79-82	Returns the exact Bool payload on the only frozen guarded use domain. Its off-domain total completion is not selected by the rule guard.	PASS
projectFloatTotal	84-87	Returns the exact Float payload on the frozen floatV domain; checked against project:Float at 1.5.	PASS
projectIntTotal	89-92	Returns the exact Int payload on the frozen exclusive-Int domain; checked against project:Int at -7 and 42.	PASS
«project:Bool?»	94-95	Exact optional Bool projection: some payload on singleton Bool and none on other/non-value computations.	PASS
«project:Float?»	97-98	Exact optional Float projection: some payload on singleton Float and none on other/non-value computations.	PASS
«project:Int?»	100-101	Exact optional Int projection: some payload on singleton Int and none on other/non-value computations.	PASS
