id	file	line	kind	attributes	target_path	review_decision	text
S0001	semantics.k	34	requires		no	STRUCTURE_ONLY	"requires ""semantics/syntax.k"""
S0002	semantics.k	35	requires		no	STRUCTURE_ONLY	"requires ""semantics/core.k"""
S0003	semantics.k	36	requires		no	STRUCTURE_ONLY	"requires ""semantics/iter.k"""
S0004	semantics.k	37	requires		no	STRUCTURE_ONLY	"requires ""semantics/range.k"""
S0005	semantics.k	38	requires		no	STRUCTURE_ONLY	"requires ""semantics/operators.k"""
S0006	semantics.k	39	requires		no	STRUCTURE_ONLY	"requires ""semantics/int.k"""
S0007	semantics.k	40	requires		no	STRUCTURE_ONLY	"requires ""semantics/bool.k"""
S0008	semantics.k	41	requires		no	STRUCTURE_ONLY	"requires ""semantics/float.k"""
S0009	semantics.k	42	requires		no	STRUCTURE_ONLY	"requires ""semantics/str.k"""
S0010	semantics.k	43	requires		no	STRUCTURE_ONLY	"requires ""semantics/set.k"""
S0011	semantics.k	44	requires		no	STRUCTURE_ONLY	"requires ""semantics/list.k"""
S0012	semantics.k	45	requires		no	STRUCTURE_ONLY	"requires ""semantics/tuple.k"""
S0013	semantics.k	46	requires		no	STRUCTURE_ONLY	"requires ""semantics/subscript.k"""
S0014	semantics.k	47	requires		no	STRUCTURE_ONLY	"requires ""semantics/comprehension.k"""
S0015	semantics.k	48	requires		no	STRUCTURE_ONLY	"requires ""semantics/methods.k"""
S0016	semantics.k	49	requires		no	STRUCTURE_ONLY	"requires ""semantics/controls.k"""
S0017	semantics.k	50	requires		no	STRUCTURE_ONLY	"requires ""semantics/functions.k"""
S0018	semantics.k	51	requires		no	STRUCTURE_ONLY	"requires ""semantics/builtins.k"""
S0019	semantics.k	52	requires		no	STRUCTURE_ONLY	"requires ""semantics/call.k"""
S0020	semantics.k	53	requires		no	STRUCTURE_ONLY	"requires ""semantics/sort.k"""
S0021	semantics.k	54	requires		no	STRUCTURE_ONLY	"requires ""semantics/assert.k"""
S0022	semantics.k	55	requires		no	STRUCTURE_ONLY	"requires ""semantics/dict.k"""
S0023	semantics.k	56	requires		no	STRUCTURE_ONLY	"requires ""semantics/concrete.k"""
S0024	semantics.k	58	module		no	STRUCTURE_ONLY	module MPY
S0025	semantics.k	59	imports		no	STRUCTURE_ONLY	imports MPY-CORE
S0026	semantics.k	60	imports		no	STRUCTURE_ONLY	imports MPY-ITER
S0027	semantics.k	61	imports		no	STRUCTURE_ONLY	imports MPY-RANGE
S0028	semantics.k	62	imports		no	STRUCTURE_ONLY	imports MPY-OPERATORS
S0029	semantics.k	63	imports		no	STRUCTURE_ONLY	imports MPY-INT
S0030	semantics.k	64	imports		no	STRUCTURE_ONLY	imports MPY-BOOL
S0031	semantics.k	65	imports		no	STRUCTURE_ONLY	imports MPY-FLOAT
S0032	semantics.k	66	imports		no	STRUCTURE_ONLY	imports MPY-STR
S0033	semantics.k	67	imports		no	STRUCTURE_ONLY	imports MPY-SET
S0034	semantics.k	68	imports		no	STRUCTURE_ONLY	imports MPY-LIST
S0035	semantics.k	69	imports		no	STRUCTURE_ONLY	imports MPY-TUPLE
S0036	semantics.k	70	imports		no	STRUCTURE_ONLY	imports MPY-SUBSCRIPT
S0037	semantics.k	71	imports		no	STRUCTURE_ONLY	imports MPY-COMPREHENSION
S0038	semantics.k	72	imports		no	STRUCTURE_ONLY	imports MPY-METHODS
S0039	semantics.k	73	imports		no	STRUCTURE_ONLY	imports MPY-CONTROLS
S0040	semantics.k	74	imports		no	STRUCTURE_ONLY	imports MPY-FUNCTIONS
S0041	semantics.k	75	imports		no	STRUCTURE_ONLY	imports MPY-BUILTINS
S0042	semantics.k	76	imports		no	STRUCTURE_ONLY	imports MPY-CALL
S0043	semantics.k	77	imports		no	STRUCTURE_ONLY	imports MPY-SORT
S0044	semantics.k	78	imports		no	STRUCTURE_ONLY	imports MPY-ASSERT
S0045	semantics.k	79	imports		no	STRUCTURE_ONLY	imports MPY-DICT
S0046	semantics.k	80	endmodule		no	STRUCTURE_ONLY	endmodule
S0047	semantics.k	87	module		no	STRUCTURE_ONLY	module MPY-KRUN
S0048	semantics.k	88	imports		no	STRUCTURE_ONLY	imports MPY
S0049	semantics.k	89	imports		no	STRUCTURE_ONLY	imports MPY-CONCRETE
S0050	semantics.k	90	endmodule		no	STRUCTURE_ONLY	endmodule
S0051	semantics/assert.k	3	module		no	STRUCTURE_ONLY	module MPY-ASSERT
S0052	semantics/assert.k	4	imports		no	STRUCTURE_ONLY	imports MPY-CORE
S0053	semantics/assert.k	6	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
S0054	semantics/assert.k	8	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
S0055	semantics/assert.k	13	rule	priority	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
S0056	semantics/assert.k	16	endmodule		no	STRUCTURE_ONLY	endmodule
S0057	semantics/bool.k	5	module		no	STRUCTURE_ONLY	module MPY-BOOL
S0058	semantics/bool.k	6	imports		no	STRUCTURE_ONLY	imports MPY-CORE
S0059	semantics/bool.k	8	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
S0060	semantics/bool.k	10	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
S0061	semantics/bool.k	11	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
S0062	semantics/bool.k	16	context		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	context BoolOp(_, (HOLE:Expr, _:Exprs))
S0063	semantics/bool.k	17	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
S0064	semantics/bool.k	18	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
S0065	semantics/bool.k	20	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
S0066	semantics/bool.k	22	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
S0067	semantics/bool.k	24	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
S0068	semantics/bool.k	29	rule	priority	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
S0069	semantics/bool.k	31	rule	priority	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
S0070	semantics/bool.k	35	rule	priority	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
S0071	semantics/bool.k	39	rule	priority	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
S0072	semantics/bool.k	43	rule	priority	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
S0073	semantics/bool.k	47	endmodule		no	STRUCTURE_ONLY	endmodule
S0074	semantics/builtins.k	3	module		no	STRUCTURE_ONLY	module MPY-BUILTINS
S0075	semantics/builtins.k	4	imports		no	STRUCTURE_ONLY	imports MPY-CORE
S0076	semantics/builtins.k	5	imports		no	STRUCTURE_ONLY	imports MPY-STR
S0077	semantics/builtins.k	6	imports		no	STRUCTURE_ONLY	imports MPY-SET
S0078	semantics/builtins.k	7	imports		no	STRUCTURE_ONLY	imports MPY-ITER
S0079	semantics/builtins.k	8	imports		no	STRUCTURE_ONLY	imports MPY-RANGE
S0080	semantics/builtins.k	9	imports		no	STRUCTURE_ONLY	imports MPY-INT
S0081	semantics/builtins.k	10	imports		no	STRUCTURE_ONLY	imports MPY-METHODS
S0082	semantics/builtins.k	17	syntax	function	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	syntax Val ::= applyBuiltin(String, Vals) [function]
S0083	semantics/builtins.k	20	syntax	function	no	ACCEPTED_OFF_PATH_FIXED_SUBSET	syntax Int ::= seqLen(Val) [function]
S0084	semantics/builtins.k	21	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
S0085	semantics/builtins.k	22	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
S0086	semantics/builtins.k	23	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
S0087	semantics/builtins.k	24	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
S0088	semantics/builtins.k	25	rule		no	ACCEPTED_OFF_PATH_FIXED_SUBSET	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
