id	provenance	file	line	module	kind	class	function	total	functional	symbol	opaque_no_evaluators	priority	simplification	concrete	owise	macro	text	decision	audit_rationale
1	SUPPLIED_FIXED	reference-semantics/semantics.k	34		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/syntax.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
2	SUPPLIED_FIXED	reference-semantics/semantics.k	35		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/core.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
3	SUPPLIED_FIXED	reference-semantics/semantics.k	36		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/iter.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
4	SUPPLIED_FIXED	reference-semantics/semantics.k	37		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/range.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
5	SUPPLIED_FIXED	reference-semantics/semantics.k	38		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/operators.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
6	SUPPLIED_FIXED	reference-semantics/semantics.k	39		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/int.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
7	SUPPLIED_FIXED	reference-semantics/semantics.k	40		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/bool.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
8	SUPPLIED_FIXED	reference-semantics/semantics.k	41		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/float.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
9	SUPPLIED_FIXED	reference-semantics/semantics.k	42		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/str.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
10	SUPPLIED_FIXED	reference-semantics/semantics.k	43		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/set.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
11	SUPPLIED_FIXED	reference-semantics/semantics.k	44		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/list.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
12	SUPPLIED_FIXED	reference-semantics/semantics.k	45		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/tuple.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
13	SUPPLIED_FIXED	reference-semantics/semantics.k	46		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/subscript.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
14	SUPPLIED_FIXED	reference-semantics/semantics.k	47		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/comprehension.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
15	SUPPLIED_FIXED	reference-semantics/semantics.k	48		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/methods.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
16	SUPPLIED_FIXED	reference-semantics/semantics.k	49		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/controls.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
17	SUPPLIED_FIXED	reference-semantics/semantics.k	50		requires	requires	True	False	False	False	False	False	False	False	False	False	"requires ""semantics/functions.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
18	SUPPLIED_FIXED	reference-semantics/semantics.k	51		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/builtins.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
19	SUPPLIED_FIXED	reference-semantics/semantics.k	52		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/call.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
20	SUPPLIED_FIXED	reference-semantics/semantics.k	53		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/sort.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
21	SUPPLIED_FIXED	reference-semantics/semantics.k	54		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/assert.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
22	SUPPLIED_FIXED	reference-semantics/semantics.k	55		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/dict.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
23	SUPPLIED_FIXED	reference-semantics/semantics.k	56		requires	requires	False	False	False	False	False	False	False	True	False	False	"requires ""semantics/concrete.k"""	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
24	SUPPLIED_FIXED	reference-semantics/semantics.k	58	MPY	module	module	False	False	False	False	False	False	False	False	False	False	module MPY	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
25	SUPPLIED_FIXED	reference-semantics/semantics.k	59	MPY	imports	imports	False	False	False	False	False	False	False	False	False	False	imports MPY-CORE	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
26	SUPPLIED_FIXED	reference-semantics/semantics.k	60	MPY	imports	imports	False	False	False	False	False	False	False	False	False	False	imports MPY-ITER	FIXED_SELECTED_SEMANTICS	Byte-identical launcher-selected semantics, not a candidate proof extension.
