id	provenance	file	line	module	kind	class	function	total	functional	symbol	opaque_no_evaluators	priority	simplification	concrete	owise	macro	text
1	SUPPLIED_FIXED	reference-semantics/semantics.k	34		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/syntax.k"""
2	SUPPLIED_FIXED	reference-semantics/semantics.k	35		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/core.k"""
3	SUPPLIED_FIXED	reference-semantics/semantics.k	36		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/iter.k"""
4	SUPPLIED_FIXED	reference-semantics/semantics.k	37		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/range.k"""
5	SUPPLIED_FIXED	reference-semantics/semantics.k	38		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/operators.k"""
6	SUPPLIED_FIXED	reference-semantics/semantics.k	39		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/int.k"""
7	SUPPLIED_FIXED	reference-semantics/semantics.k	40		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/bool.k"""
8	SUPPLIED_FIXED	reference-semantics/semantics.k	41		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/float.k"""
9	SUPPLIED_FIXED	reference-semantics/semantics.k	42		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/str.k"""
10	SUPPLIED_FIXED	reference-semantics/semantics.k	43		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/set.k"""
11	SUPPLIED_FIXED	reference-semantics/semantics.k	44		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/list.k"""
12	SUPPLIED_FIXED	reference-semantics/semantics.k	45		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/tuple.k"""
13	SUPPLIED_FIXED	reference-semantics/semantics.k	46		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/subscript.k"""
14	SUPPLIED_FIXED	reference-semantics/semantics.k	47		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/comprehension.k"""
15	SUPPLIED_FIXED	reference-semantics/semantics.k	48		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/methods.k"""
16	SUPPLIED_FIXED	reference-semantics/semantics.k	49		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/controls.k"""
17	SUPPLIED_FIXED	reference-semantics/semantics.k	50		requires	requires	True	False	False	False	False	False	False	False	False	False	"requires ""semantics/functions.k"""
18	SUPPLIED_FIXED	reference-semantics/semantics.k	51		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/builtins.k"""
19	SUPPLIED_FIXED	reference-semantics/semantics.k	52		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/call.k"""
20	SUPPLIED_FIXED	reference-semantics/semantics.k	53		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/sort.k"""
21	SUPPLIED_FIXED	reference-semantics/semantics.k	54		requires	requires	False	False	False	False	False	False	False	False	False	False	"requires ""semantics/assert.k"""
