FILE /tmp/audit-work/audit-src/reference-semantics/semantics.k
FILE-RECORDS 0
FILE /tmp/audit-work/audit-src/reference-semantics/semantics/assert.k
0006	ordinary-rule	attrs=-	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
0008	ordinary-rule	attrs=-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
0013	ordinary-rule	attrs=priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
FILE-RECORDS 3
FILE /tmp/audit-work/audit-src/reference-semantics/semantics/bool.k
0008	ordinary-rule	attrs=-	rule applyUn("not", V:Val) => notBool truthy(V)
0010	ordinary-rule	attrs=-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
0011	ordinary-rule	attrs=-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2  // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
0016	context	attrs=-	context BoolOp(_, (HOLE:Expr, _:Exprs))
0017	ordinary-rule	attrs=-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
0018	ordinary-rule	attrs=-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
0020	ordinary-rule	attrs=-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
0022	ordinary-rule	attrs=-	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
0024	ordinary-rule	attrs=-	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)  // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
0029	ordinary-rule	attrs=priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
0031	ordinary-rule	attrs=priority	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
0035	ordinary-rule	attrs=priority	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
0039	ordinary-rule	attrs=priority	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
0043	ordinary-rule	attrs=priority	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
