id	scope	file	line	kind	attributes	target_relevance	assessment	statement
1	fixed-semantics	semantics/assert.k	6	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule <k> Assert(V:Val) => .K ... </k>
2	fixed-semantics	semantics/assert.k	8	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
3	fixed-semantics	semantics/assert.k	13	rule	priority	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	fixed-semantics	semantics/bool.k	8	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	fixed-semantics	semantics/bool.k	10	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	fixed-semantics	semantics/bool.k	11	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	fixed-semantics	semantics/bool.k	16	context	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	fixed-semantics	semantics/bool.k	17	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	fixed-semantics	semantics/bool.k	18	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
10	fixed-semantics	semantics/bool.k	20	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
11	fixed-semantics	semantics/bool.k	22	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
12	fixed-semantics	semantics/bool.k	24	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
13	fixed-semantics	semantics/bool.k	29	rule	priority	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	fixed-semantics	semantics/bool.k	31	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"
15	fixed-semantics	semantics/bool.k	35	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"
16	fixed-semantics	semantics/bool.k	39	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"
17	fixed-semantics	semantics/bool.k	43	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"
18	fixed-semantics	semantics/builtins.k	17	syntax	function	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	syntax Val ::= applyBuiltin(String, Vals) [function]
19	fixed-semantics	semantics/builtins.k	20	syntax	function	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Int ::= seqLen(Val) [function]
20	fixed-semantics	semantics/builtins.k	21	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
21	fixed-semantics	semantics/builtins.k	22	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
22	fixed-semantics	semantics/builtins.k	23	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
23	fixed-semantics	semantics/builtins.k	24	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule seqLen(str(IS:IntSeq)) => isLen(IS)
24	fixed-semantics	semantics/builtins.k	25	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
25	fixed-semantics	semantics/builtins.k	26	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
26	fixed-semantics	semantics/builtins.k	32	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
27	fixed-semantics	semantics/builtins.k	33	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
28	fixed-semantics	semantics/builtins.k	34	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
