Script started on 2026-07-30 06:31:31-05:00 [<not executed on terminal>]
DISPOSITION_HEADER	path	line	kind	decision	reason	statement
DISPOSITION	reference-semantics/semantics/assert.k	6	rule	ACCEPT_SUPPLIED_NONINTERFERING	fixed supplied declaration/rule reviewed for overlap; not reached by this body	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
DISPOSITION	reference-semantics/semantics/assert.k	8	rule	ACCEPT_SUPPLIED_NONINTERFERING	fixed supplied declaration/rule reviewed for overlap; not reached by this body	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
DISPOSITION	reference-semantics/semantics/assert.k	13	rule	ACCEPT_SUPPLIED_NONINTERFERING	fixed supplied declaration/rule reviewed for overlap; not reached by this body	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
DISPOSITION	reference-semantics/semantics/bool.k	8	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyUn("not", V:Val) => notBool truthy(V)
DISPOSITION	reference-semantics/semantics/bool.k	10	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
DISPOSITION	reference-semantics/semantics/bool.k	11	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
DISPOSITION	reference-semantics/semantics/bool.k	17	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I) requires isEqOrdOp(OP)
DISPOSITION	reference-semantics/semantics/bool.k	19	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B)) requires isEqOrdOp(OP)
DISPOSITION	reference-semantics/semantics/bool.k	21	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2)) requires isOrdOp(OP)
DISPOSITION	reference-semantics/semantics/bool.k	27	context	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	context BoolOp(_, (HOLE:Expr, _:Exprs))
DISPOSITION	reference-semantics/semantics/bool.k	28	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
DISPOSITION	reference-semantics/semantics/bool.k	29	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
DISPOSITION	reference-semantics/semantics/bool.k	31	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
DISPOSITION	reference-semantics/semantics/bool.k	33	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
DISPOSITION	reference-semantics/semantics/bool.k	35	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
DISPOSITION	reference-semantics/semantics/bool.k	40	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
DISPOSITION	reference-semantics/semantics/bool.k	42	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
DISPOSITION	reference-semantics/semantics/bool.k	46	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
DISPOSITION	reference-semantics/semantics/bool.k	50	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
DISPOSITION	reference-semantics/semantics/bool.k	54	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
DISPOSITION	reference-semantics/semantics/builtins.k	17	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax Val ::= applyBuiltin(String, Vals) [function]
DISPOSITION	reference-semantics/semantics/builtins.k	20	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax Int ::= seqLen(Val) [function]
DISPOSITION	reference-semantics/semantics/builtins.k	21	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
DISPOSITION	reference-semantics/semantics/builtins.k	22	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
DISPOSITION	reference-semantics/semantics/builtins.k	23	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
