Script started on 2026-07-30 06:22:11-05:00 [<not executed on terminal>]
INVENTORY_HEADER	path	line	kind	classification	attributes	statement
ITEM	reference-semantics/semantics/assert.k	6	rule	ordinary		rule <k> Assert(V:Val) => .K ... </k>
ITEM	reference-semantics/semantics/assert.k	8	rule	ordinary		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
ITEM	reference-semantics/semantics/assert.k	13	rule	priority	priority(40)	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
ITEM	reference-semantics/semantics/bool.k	8	rule	ordinary		rule applyUn("not", V:Val) => notBool truthy(V)
ITEM	reference-semantics/semantics/bool.k	10	rule	ordinary		rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
ITEM	reference-semantics/semantics/bool.k	11	rule	ordinary		rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
ITEM	reference-semantics/semantics/bool.k	17	rule	ordinary		rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I)
ITEM	reference-semantics/semantics/bool.k	19	rule	ordinary		rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B))
ITEM	reference-semantics/semantics/bool.k	21	rule	ordinary		rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2))
ITEM	reference-semantics/semantics/bool.k	27	context	context		context BoolOp(_, (HOLE:Expr, _:Exprs))
ITEM	reference-semantics/semantics/bool.k	28	rule	ordinary		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
ITEM	reference-semantics/semantics/bool.k	29	rule	ordinary		rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
ITEM	reference-semantics/semantics/bool.k	31	rule	ordinary		rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
ITEM	reference-semantics/semantics/bool.k	33	rule	ordinary		rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
ITEM	reference-semantics/semantics/bool.k	35	rule	ordinary		rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
ITEM	reference-semantics/semantics/bool.k	40	rule	priority	priority(40)	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
ITEM	reference-semantics/semantics/bool.k	42	rule	ordinary		rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
ITEM	reference-semantics/semantics/bool.k	46	rule	ordinary		rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
ITEM	reference-semantics/semantics/bool.k	50	rule	ordinary		rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
ITEM	reference-semantics/semantics/bool.k	54	rule	ordinary		rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
ITEM	reference-semantics/semantics/builtins.k	17	syntax	function	function	syntax Val ::= applyBuiltin(String, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	20	syntax	function	function	syntax Int ::= seqLen(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	21	rule	ordinary		rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
ITEM	reference-semantics/semantics/builtins.k	22	rule	ordinary		rule seqLen(list(VS:ValSeq)) => vsLen(VS)
ITEM	reference-semantics/semantics/builtins.k	23	rule	ordinary		rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
