id	file	line	kind	classification	attributes	statement_sha256	signature	decision
1	reference-semantics/semantics/assert.k	6	rule	FIXED_UNUSED	-	46ba8624b23bf183d99353eab0c339c7261e3934373bc10c8d6eb0966fb6e4c2	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
2	reference-semantics/semantics/assert.k	8	rule	FIXED_UNUSED	-	02af58c82c4e0fde67d9f12072d76f2988fe7ee14a6095de5e3458d305cc53d4	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
3	reference-semantics/semantics/assert.k	13	rule	FIXED_UNUSED	priority	394326569ed8c1799184b4ed5f7f854898024e4cb1235144ef0f39f8b96a1cd9	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
4	reference-semantics/semantics/bool.k	8	rule	FIXED_UNUSED	-	274ff35fd151cd732d15a1272707ece9a30a3e8a434efd8affb128403bd37106	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
5	reference-semantics/semantics/bool.k	10	rule	FIXED_UNUSED	-	f9d84a06392e2fadf7137e9e4c111657d995f025f4f1d6b5dac05fb58a21972b	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
6	reference-semantics/semantics/bool.k	11	rule	FIXED_UNUSED	-	12c6816337f8d80cfe6e6ee206b683ea5da78db220d397a15d2789bd5e18cd20	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
7	reference-semantics/semantics/bool.k	16	context	FIXED_UNUSED	-	de6eec95e5ddf9dc9af3d2a9f94c4df9e2c9b73bffe0bf7404ddda338b0ca05b	context BoolOp(_, (HOLE:Expr, _:Exprs))	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
8	reference-semantics/semantics/bool.k	17	rule	FIXED_UNUSED	-	2efcf80be1c3fd95a749162752e9c54fdf8cd5c6b64cfe1aeed528cffe1f38d2	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
9	reference-semantics/semantics/bool.k	18	rule	FIXED_UNUSED	-	ddf6d5245d01784cd74f00f7e54a736a76166193d7ed17e3b6f4f10ffdeac882	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
10	reference-semantics/semantics/bool.k	20	rule	FIXED_UNUSED	-	eeeb303f787ca6da784fed38bb09560b7dc239cce893b9b6771056808ef4e9ee	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
