construct	declaration	evaluation/control rules	assessment
Module	semantics/syntax.k:61	semantics/core.k:124-127; semantics/functions.k:14-16	Module loading creates the same closure body/capture environment mechanically compared in stage4.
FuncDef	semantics/syntax.k:53	semantics/functions.k:14-16	Binds closureVal(params,body,current-env); no body summary or interception.
Params/ParamNames	semantics/syntax.k:57,60	semantics/functions.k:63-75	Two arguments bind left-to-right to x and n in the fresh frame.
Call	semantics/syntax.k:28	semantics/call.k:18-21,69-74; semantics/core.k:183-191	Evaluates callee then arguments left-to-right, pushes a real frame, and executes BODY.
Name	semantics/syntax.k:12	semantics/core.k:129-154	Looks up current local frame, then parents; the entry binding pins is_simple_power.
Int literal	semantics/syntax.k:9	semantics/core.k:193-196	Evaluates to the same unbounded K Int.
Bool literal	semantics/syntax.k:11	semantics/core.k:193-196	Evaluates to the same K Bool.
If	semantics/syntax.k:49 [strict(1)]	semantics/controls.k:50-54	Condition evaluates first; truthy Bool selects exactly one branch.
Compare/CmpOp	semantics/syntax.k:30,32	semantics/operators.k:14-20; semantics/int.k:22-27	Operands evaluate in context and integer comparisons produce Bool.
UnaryOp "-"	semantics/syntax.k:14 [strict(2)]	semantics/operators.k:10; semantics/int.k:7	Used only to construct the literal -1.
While	semantics/syntax.k:46	semantics/controls.k:65-91	Guard is reevaluated each iteration; true executes body and loopback, false exits.
BinOp "%"	semantics/syntax.k:15 [seqstrict(2,3)]	semantics/operators.k:12; semantics/int.k:15,19-20	Left-to-right integer operands; supplied pyMod matches Python modulo for nonzero n.
BinOp "//"	semantics/syntax.k:15 [seqstrict(2,3)]	semantics/operators.k:12; semantics/int.k:16	Computes (x-pyMod(x,n))/n, Python floor division for nonzero n.
Assign Name	semantics/syntax.k:41 [strict(2)]	semantics/controls.k:8-18	Evaluates RHS then overwrites only local x.
Return	semantics/syntax.k:50 [strict]	semantics/functions.k:77-90	Evaluates result, sets retV, discards remaining callee statements, restores caller cells/frame.
Stmts list	semantics/syntax.k:56	semantics/core.k:123-127	Executes statements in source order and terminates on .Stmts.
