COMMAND: /audit-output/evidence/inventory_focus.sh
WORKDIR: /audit-output
--- OUTPUT BEGIN ---
== Candidate-local entries ==
id	role	file	start_line	end_line	kind	attributes	candidate_usage	assessment	logical_declaration
K0929	candidate-proof-extension	verification.k	9	9	syntax	function,total	direct	LOCALLY_SOUND_TRANSPARENT_AST_ALIAS_NOT_SOURCE_PIN	"syntax Stmts ::= ""roundedAvgBody"" [function, total]"
K0930	candidate-proof-extension	verification.k	10	25	rule		direct	LOCALLY_SOUND_TRANSPARENT_AST_ALIAS_NOT_SOURCE_PIN	"rule roundedAvgBody => If(Compare(Name(""n""), CmpOp("">"", Name(""m""))), Return(UnaryOp(""-"", Int(1))), .Stmts) Assign(Name(""total""), BinOp(""+"", Name(""n""), Name(""m""))) Assign(Name(""average""), BinOp(""//"", Name(""total""), Int(2))) If(Compare(BinOp(""%"", Name(""total""), Int(2)), CmpOp(""=="", Int(1))), If(Compare(BinOp(""%"", Name(""average""), Int(2)), CmpOp(""=="", Int(1))), Assign(Name(""average""), BinOp(""+"", Name(""average""), Int(1))), .Stmts), .Stmts) Return(Call(Name(""bin""), Name(""average""), .Exprs)) .Stmts"
K0931	candidate-proof-extension	verification.k	29	29	syntax	function,total	direct	LOCALLY_SOUND_CALL_CONSTRUCTOR_NOT_SOURCE_PIN	syntax Expr ::= roundedAvgCall(Int, Int) [function, total]
K0932	candidate-proof-extension	verification.k	30	33	rule		direct	LOCALLY_SOUND_CALL_CONSTRUCTOR_NOT_SOURCE_PIN	"rule roundedAvgCall(N:Int, M:Int) => Call(closureVal((""n"", ""m"", .ParamNames), roundedAvgBody, 0), (N, M, .Exprs)) endmodule"
K0933	candidate-target-claim	spec.k	7	20	claim		direct	RESULT_CONSTRAINING_TARGET_NOT_SOURCE_PINNED	claim <k> roundedAvgCall(N:Int, M:Int) => -1 </k> <env> 0 </env> <scopes> 0  |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> requires N >Int 0 andBool M >Int 0 andBool N >Int M
K0934	candidate-target-claim	spec.k	23	39	claim		direct	RESULT_CONSTRAINING_TARGET_NOT_SOURCE_PINNED	claim <k> roundedAvgCall(N:Int, M:Int) => str(iCons(48, iCons(98, binCodes((N +Int M) /Int 2)))) </k> <env> 0 </env> <scopes> 0  |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> requires N >Int 0 andBool M >Int 0 andBool N <=Int M andBool pyMod(N +Int M, 2) ==Int 0
K0935	candidate-target-claim	spec.k	42	59	claim		direct	RESULT_CONSTRAINING_TARGET_NOT_SOURCE_PINNED	claim <k> roundedAvgCall(N:Int, M:Int) => str(iCons(48, iCons(98, binCodes((N +Int M -Int 1) /Int 2)))) </k> <env> 0 </env> <scopes> 0  |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> requires N >Int 0 andBool M >Int 0 andBool N <=Int M andBool pyMod(N +Int M, 2) ==Int 1 andBool pyMod((N +Int M -Int 1) /Int 2, 2) ==Int 0
K0936	candidate-target-claim	spec.k	62	81	claim		direct	RESULT_CONSTRAINING_TARGET_NOT_SOURCE_PINNED	claim <k> roundedAvgCall(N:Int, M:Int) => str(iCons(48, iCons(98, binCodes(((N +Int M -Int 1) /Int 2) +Int 1)))) </k> <env> 0 </env> <scopes> 0  |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> requires N >Int 0 andBool M >Int 0 andBool N <=Int M andBool pyMod(N +Int M, 2) ==Int 1 andBool pyMod((N +Int M -Int 1) /Int 2, 2) ==Int 1 endmodule
== Opaque declarations ==
id	role	file	start_line	end_line	kind	attributes	candidate_usage	assessment	logical_declaration
