COMMAND: python3 /audit-output/evidence/stage5_inventory.py
path	line	kind	attributes	disposition	declaration_or_rule
semantics.k	58	module	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	module MPY
semantics.k	59	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CORE
semantics.k	60	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-ITER
semantics.k	61	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-RANGE
semantics.k	62	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-OPERATORS
semantics.k	63	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-INT
semantics.k	64	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-BOOL
semantics.k	65	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-FLOAT
semantics.k	66	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-STR
semantics.k	67	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-SET
semantics.k	68	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-LIST
semantics.k	69	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-TUPLE
semantics.k	70	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-SUBSCRIPT
semantics.k	71	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-COMPREHENSION
semantics.k	72	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-METHODS
semantics.k	73	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CONTROLS
semantics.k	74	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-FUNCTIONS
semantics.k	75	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-BUILTINS
semantics.k	76	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CALL
semantics.k	77	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-SORT
semantics.k	78	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-ASSERT
semantics.k	79	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-DICT
semantics.k	80	endmodule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	endmodule  // The krun (llvm) main module: MPY plus the concrete-only legs (keyed sort's // real key calls, deep list equality). Verification builds import MPY and // never see MPY-CONCRETE. The llvm kompile MUST use --main-module MPY-KRUN — // with plain MPY the concrete legs are silently absent (this was live for a // while: sorted-key stuck and comprehension asserted wrong under krun).
semantics.k	87	module	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	module MPY-KRUN
semantics.k	88	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY
semantics.k	89	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CONCRETE
semantics.k	90	endmodule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	endmodule
semantics/assert.k	3	module	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	module MPY-ASSERT
semantics/assert.k	4	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CORE
semantics/assert.k	6	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
semantics/assert.k	8	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
semantics/assert.k	13	rule	priority	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/assert.k	16	endmodule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	endmodule
semantics/bool.k	5	module	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	module MPY-BOOL
semantics/bool.k	6	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CORE
semantics/bool.k	8	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyUn("not", V:Val) => notBool truthy(V)
semantics/bool.k	10	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
semantics/bool.k	11	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2  // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
semantics/bool.k	16	context	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	context BoolOp(_, (HOLE:Expr, _:Exprs))
semantics/bool.k	17	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
semantics/bool.k	18	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
semantics/bool.k	20	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
semantics/bool.k	22	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
semantics/bool.k	24	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)  // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
semantics/bool.k	29	rule	priority	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
semantics/bool.k	31	rule	priority	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
