id	file	lines	kind	source_class	semantic_class	attributes	declaration
K0001	reference-semantics/semantics.k	34-34	requires	trusted-supplied	requires		requires "semantics/syntax.k"
K0002	reference-semantics/semantics.k	35-35	requires	trusted-supplied	requires		requires "semantics/core.k"
K0003	reference-semantics/semantics.k	36-36	requires	trusted-supplied	requires		requires "semantics/iter.k"
K0004	reference-semantics/semantics.k	37-37	requires	trusted-supplied	requires		requires "semantics/range.k"
K0005	reference-semantics/semantics.k	38-38	requires	trusted-supplied	requires		requires "semantics/operators.k"
K0006	reference-semantics/semantics.k	39-39	requires	trusted-supplied	requires		requires "semantics/int.k"
K0007	reference-semantics/semantics.k	40-40	requires	trusted-supplied	requires		requires "semantics/bool.k"
K0008	reference-semantics/semantics.k	41-41	requires	trusted-supplied	requires		requires "semantics/float.k"
K0009	reference-semantics/semantics.k	42-42	requires	trusted-supplied	requires		requires "semantics/str.k"
K0010	reference-semantics/semantics.k	43-43	requires	trusted-supplied	requires		requires "semantics/set.k"
K0011	reference-semantics/semantics.k	44-44	requires	trusted-supplied	requires		requires "semantics/list.k"
K0012	reference-semantics/semantics.k	45-45	requires	trusted-supplied	requires		requires "semantics/tuple.k"
K0013	reference-semantics/semantics.k	46-46	requires	trusted-supplied	requires		requires "semantics/subscript.k"
K0014	reference-semantics/semantics.k	47-47	requires	trusted-supplied	requires		requires "semantics/comprehension.k"
K0015	reference-semantics/semantics.k	48-48	requires	trusted-supplied	requires		requires "semantics/methods.k"
K0016	reference-semantics/semantics.k	49-49	requires	trusted-supplied	requires		requires "semantics/controls.k"
K0017	reference-semantics/semantics.k	50-50	requires	trusted-supplied	requires		requires "semantics/functions.k"
K0018	reference-semantics/semantics.k	51-51	requires	trusted-supplied	requires		requires "semantics/builtins.k"
K0019	reference-semantics/semantics.k	52-52	requires	trusted-supplied	requires		requires "semantics/call.k"
K0020	reference-semantics/semantics.k	53-53	requires	trusted-supplied	requires		requires "semantics/sort.k"
K0021	reference-semantics/semantics.k	54-54	requires	trusted-supplied	requires		requires "semantics/assert.k"
K0022	reference-semantics/semantics.k	55-55	requires	trusted-supplied	requires		requires "semantics/dict.k"
K0023	reference-semantics/semantics.k	56-56	requires	trusted-supplied	requires		requires "semantics/concrete.k"
K0024	reference-semantics/semantics.k	58-58	module	trusted-supplied	module		module MPY
K0025	reference-semantics/semantics.k	59-59	imports	trusted-supplied	imports		imports MPY-CORE
K0026	reference-semantics/semantics.k	60-60	imports	trusted-supplied	imports		imports MPY-ITER
K0027	reference-semantics/semantics.k	61-61	imports	trusted-supplied	imports		imports MPY-RANGE
K0028	reference-semantics/semantics.k	62-62	imports	trusted-supplied	imports		imports MPY-OPERATORS
K0029	reference-semantics/semantics.k	63-63	imports	trusted-supplied	imports		imports MPY-INT
K0030	reference-semantics/semantics.k	64-64	imports	trusted-supplied	imports		imports MPY-BOOL
K0031	reference-semantics/semantics.k	65-65	imports	trusted-supplied	imports		imports MPY-FLOAT
K0032	reference-semantics/semantics.k	66-66	imports	trusted-supplied	imports		imports MPY-STR
K0033	reference-semantics/semantics.k	67-67	imports	trusted-supplied	imports		imports MPY-SET
K0034	reference-semantics/semantics.k	68-68	imports	trusted-supplied	imports		imports MPY-LIST
K0035	reference-semantics/semantics.k	69-69	imports	trusted-supplied	imports		imports MPY-TUPLE
K0036	reference-semantics/semantics.k	70-70	imports	trusted-supplied	imports		imports MPY-SUBSCRIPT
K0037	reference-semantics/semantics.k	71-71	imports	trusted-supplied	imports		imports MPY-COMPREHENSION
K0038	reference-semantics/semantics.k	72-72	imports	trusted-supplied	imports		imports MPY-METHODS
K0039	reference-semantics/semantics.k	73-73	imports	trusted-supplied	imports		imports MPY-CONTROLS
K0040	reference-semantics/semantics.k	74-74	imports	trusted-supplied	imports		imports MPY-FUNCTIONS
K0041	reference-semantics/semantics.k	75-75	imports	trusted-supplied	imports		imports MPY-BUILTINS
K0042	reference-semantics/semantics.k	76-76	imports	trusted-supplied	imports		imports MPY-CALL
K0043	reference-semantics/semantics.k	77-77	imports	trusted-supplied	imports		imports MPY-SORT
K0044	reference-semantics/semantics.k	78-78	imports	trusted-supplied	imports		imports MPY-ASSERT
K0045	reference-semantics/semantics.k	79-79	imports	trusted-supplied	imports		imports MPY-DICT
K0046	reference-semantics/semantics.k	87-87	module	trusted-supplied	module		module MPY-KRUN
K0047	reference-semantics/semantics.k	88-88	imports	trusted-supplied	imports		imports MPY
K0048	reference-semantics/semantics.k	89-89	imports	trusted-supplied	imports		imports MPY-CONCRETE
K0049	reference-semantics/semantics/assert.k	3-3	module	trusted-supplied	module		module MPY-ASSERT
K0050	reference-semantics/semantics/assert.k	4-4	imports	trusted-supplied	imports		imports MPY-CORE
K0051	reference-semantics/semantics/assert.k	6-7	rule	trusted-supplied	operational-rule		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0052	reference-semantics/semantics/assert.k	8-11	rule	trusted-supplied	operational-rule		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0053	reference-semantics/semantics/assert.k	13-15	rule	trusted-supplied	operational-rule	priority(40)	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0054	reference-semantics/semantics/bool.k	5-5	module	trusted-supplied	module		module MPY-BOOL
K0055	reference-semantics/semantics/bool.k	6-6	imports	trusted-supplied	imports		imports MPY-CORE
K0056	reference-semantics/semantics/bool.k	8-8	rule	trusted-supplied	equational-rule		rule applyUn("not", V:Val) => notBool truthy(V)
K0057	reference-semantics/semantics/bool.k	10-10	rule	trusted-supplied	equational-rule		rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0058	reference-semantics/semantics/bool.k	11-11	rule	trusted-supplied	equational-rule		rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0059	reference-semantics/semantics/bool.k	16-16	context	trusted-supplied	evaluation-context		context BoolOp(_, (HOLE:Expr, _:Exprs))
K0060	reference-semantics/semantics/bool.k	17-17	rule	trusted-supplied	operational-rule		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0061	reference-semantics/semantics/bool.k	18-19	rule	trusted-supplied	operational-rule		rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0062	reference-semantics/semantics/bool.k	20-21	rule	trusted-supplied	operational-rule		rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0063	reference-semantics/semantics/bool.k	22-23	rule	trusted-supplied	operational-rule		rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0064	reference-semantics/semantics/bool.k	24-25	rule	trusted-supplied	operational-rule		rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K0065	reference-semantics/semantics/bool.k	29-30	rule	trusted-supplied	operational-rule	priority(40)	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0066	reference-semantics/semantics/bool.k	31-34	rule	trusted-supplied	operational-rule	priority(40)	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0067	reference-semantics/semantics/bool.k	35-38	rule	trusted-supplied	operational-rule	priority(40)	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0068	reference-semantics/semantics/bool.k	39-42	rule	trusted-supplied	operational-rule	priority(40)	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0069	reference-semantics/semantics/bool.k	43-46	rule	trusted-supplied	operational-rule	priority(40)	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0070	reference-semantics/semantics/builtins.k	3-3	module	trusted-supplied	module		module MPY-BUILTINS
K0071	reference-semantics/semantics/builtins.k	4-4	imports	trusted-supplied	imports		imports MPY-CORE
K0072	reference-semantics/semantics/builtins.k	5-5	imports	trusted-supplied	imports		imports MPY-STR
K0073	reference-semantics/semantics/builtins.k	6-6	imports	trusted-supplied	imports		imports MPY-SET
K0074	reference-semantics/semantics/builtins.k	7-7	imports	trusted-supplied	imports		imports MPY-ITER
K0075	reference-semantics/semantics/builtins.k	8-8	imports	trusted-supplied	imports		imports MPY-RANGE
K0076	reference-semantics/semantics/builtins.k	9-9	imports	trusted-supplied	imports		imports MPY-INT
K0077	reference-semantics/semantics/builtins.k	10-10	imports	trusted-supplied	imports		imports MPY-METHODS
