Script started on 2026-07-29 05:51:36-05:00 [<not executed on terminal>]
source_file_count=26
record_count=1109
kind_counts={'claim': 3, 'configuration': 1, 'context': 5, 'endmodule': 27, 'imports': 88, 'module': 27, 'requires': 25, 'rule': 702, 'syntax': 231}
decision_counts={'CLAIM_MANUAL_REVIEW': 7, 'FIXED_RELEVANT_REVIEWED': 300, 'FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE': 787, 'PROOF_LOCAL_MANUAL_REVIEW': 15}
attribute_counts={'concrete': 36, 'function': 148, 'macro': 6, 'no-evaluators': 22, 'owise': 26, 'priority': 45, 'seqstrict': 1, 'simplification': 1, 'strict': 2, 'symbol': 25, 'total': 109}
id	path:line	kind	attributes	decision	declaration
0001	reference-semantics/semantics.k:34	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/syntax.k"
0002	reference-semantics/semantics.k:35	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/core.k"
0003	reference-semantics/semantics.k:36	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/iter.k"
0004	reference-semantics/semantics.k:37	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/range.k"
0005	reference-semantics/semantics.k:38	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/operators.k"
0006	reference-semantics/semantics.k:39	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/int.k"
0007	reference-semantics/semantics.k:40	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/bool.k"
0008	reference-semantics/semantics.k:41	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/float.k"
0009	reference-semantics/semantics.k:42	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/str.k"
0010	reference-semantics/semantics.k:43	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/set.k"
0011	reference-semantics/semantics.k:44	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/list.k"
0012	reference-semantics/semantics.k:45	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/tuple.k"
0013	reference-semantics/semantics.k:46	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/subscript.k"
0014	reference-semantics/semantics.k:47	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/comprehension.k"
0015	reference-semantics/semantics.k:48	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/methods.k"
0016	reference-semantics/semantics.k:49	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/controls.k"
0017	reference-semantics/semantics.k:50	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/functions.k"
0018	reference-semantics/semantics.k:51	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/builtins.k"
0019	reference-semantics/semantics.k:52	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/call.k"
0020	reference-semantics/semantics.k:53	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/sort.k"
0021	reference-semantics/semantics.k:54	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/assert.k"
0022	reference-semantics/semantics.k:55	requires	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/dict.k"
0023	reference-semantics/semantics.k:56	requires	concrete	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	requires "semantics/concrete.k"
0024	reference-semantics/semantics.k:58	module	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	module MPY
0025	reference-semantics/semantics.k:59	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CORE
0026	reference-semantics/semantics.k:60	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-ITER
0027	reference-semantics/semantics.k:61	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-RANGE
0028	reference-semantics/semantics.k:62	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-OPERATORS
0029	reference-semantics/semantics.k:63	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-INT
0030	reference-semantics/semantics.k:64	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-BOOL
0031	reference-semantics/semantics.k:65	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-FLOAT
0032	reference-semantics/semantics.k:66	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-STR
0033	reference-semantics/semantics.k:67	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-SET
0034	reference-semantics/semantics.k:68	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-LIST
0035	reference-semantics/semantics.k:69	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-TUPLE
0036	reference-semantics/semantics.k:70	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-SUBSCRIPT
0037	reference-semantics/semantics.k:71	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-COMPREHENSION
0038	reference-semantics/semantics.k:72	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-METHODS
0039	reference-semantics/semantics.k:73	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CONTROLS
0040	reference-semantics/semantics.k:74	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-FUNCTIONS
0041	reference-semantics/semantics.k:75	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-BUILTINS
0042	reference-semantics/semantics.k:76	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CALL
0043	reference-semantics/semantics.k:77	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-SORT
0044	reference-semantics/semantics.k:78	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-ASSERT
0045	reference-semantics/semantics.k:79	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-DICT
0046	reference-semantics/semantics.k:80	endmodule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	endmodule
0047	reference-semantics/semantics.k:87	module	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	module MPY-KRUN
0048	reference-semantics/semantics.k:88	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY
0049	reference-semantics/semantics.k:89	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CONCRETE
0050	reference-semantics/semantics.k:90	endmodule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	endmodule
0051	reference-semantics/semantics/assert.k:3	module	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	module MPY-ASSERT
0052	reference-semantics/semantics/assert.k:4	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CORE
0053	reference-semantics/semantics/assert.k:6	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
