scope	file	line	kind	flags	sha256	statement
supplied	/reference/reference-semantics/semantics/assert.k	3	module		c9be78fdc587dd075a47c08e505694a8890633ae600b52f886a4ff33046c24b6	module MPY-ASSERT
supplied	/reference/reference-semantics/semantics/assert.k	4	imports		4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
supplied	/reference/reference-semantics/semantics/assert.k	6	rule		90fd8cb48806b565c7efda64556bc1f3741e4c215670728e20119ee4302ac5f5	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
supplied	/reference/reference-semantics/semantics/assert.k	8	rule		dfe24d6909cafaa624ffd02ce638b5285dda809ae92d1bf8f64b9ef11388019b	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
supplied	/reference/reference-semantics/semantics/assert.k	13	rule	priority	94ec1f9b321539df9f19af2581391cdb32c7dc4d56895d3d9732706d61c6e039	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
supplied	/reference/reference-semantics/semantics/assert.k	16	endmodule		4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
supplied	/reference/reference-semantics/semantics/bool.k	5	module		d0f4ccd7f134c7e028e54d830d022d5ca267e8266c1692006db410b48d14f7c1	module MPY-BOOL
supplied	/reference/reference-semantics/semantics/bool.k	6	imports		4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
supplied	/reference/reference-semantics/semantics/bool.k	8	rule		f6a9f817afd56c9168797a3f098cd08c12966f18447d1e0f9d1a05f16ae677c4	rule applyUn("not", V:Val) => notBool truthy(V)
supplied	/reference/reference-semantics/semantics/bool.k	10	rule		27c7ab07384784839a8a863b3f9933be214b73575a7e3e811e125c3d99a0370a	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
supplied	/reference/reference-semantics/semantics/bool.k	11	rule		11555d7ce875283bd8c51632b00c1cb425a1a439fcbc2a9ce409f339d69477aa	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // bool is a subtype of int: a Bool compared with an Int promotes to 0/1 and // re-dispatches to the Int comparison cases (True==1, False==0, True<2, ...). // The == / != Bool x Bool cases above are kept; only the four ordering ops are // promoted for Bool x Bool (to avoid duplicating the two rules above).
supplied	/reference/reference-semantics/semantics/bool.k	17	rule		987b84094401c7bd3c88c380b99456659c5e74180c2e49d548cb659821503c1e	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I) requires isEqOrdOp(OP)
supplied	/reference/reference-semantics/semantics/bool.k	19	rule		562dfc7e5b210086c66f8c8892c3459aecaea235f15450a02adf9a7b5ce7a03d	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B)) requires isEqOrdOp(OP)
supplied	/reference/reference-semantics/semantics/bool.k	21	rule		68d4cf994128e49e515a9319aff65d50fe4e1a7907f92cbb9d5fbc8b48e81721	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2)) requires isOrdOp(OP) // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
supplied	/reference/reference-semantics/semantics/bool.k	27	context		4bad2e2ff81c39e87091eef691d33bff23a6d7adf29b55aafe2a261e9e7aa33a	context BoolOp(_, (HOLE:Expr, _:Exprs))
supplied	/reference/reference-semantics/semantics/bool.k	28	rule		dd652a87b5666794e2e19a88c80917f8819ce783aae50f826a5d468e4a188544	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
supplied	/reference/reference-semantics/semantics/bool.k	29	rule		c903d941fb7314ce9a808ef44e64dbb8c65585c74cc3935c843f59b30f0db2cb	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
supplied	/reference/reference-semantics/semantics/bool.k	31	rule		609b42dde8cecff47044578c95dfa8dfa3b51a7bc1edc878294ab4d92055e5d3	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
supplied	/reference/reference-semantics/semantics/bool.k	33	rule		66ef890f68fe08fb9cafa68cd0f292cad9db3d564aa5d15542c90c9baecd8c27	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
supplied	/reference/reference-semantics/semantics/bool.k	35	rule		a1e1d5c0c320489628410545eeba67dfb65e90c6799530ecbfb4a82719f91192	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
supplied	/reference/reference-semantics/semantics/bool.k	40	rule	priority	570c438ed2f88db94f853171689a61a4a3efbf6632bd00359e59635b287cdd42	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
supplied	/reference/reference-semantics/semantics/bool.k	42	rule	priority	b20811d55420feb532235075af2164c6b7e8f9483e24f63346f384cc07354bdb	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
supplied	/reference/reference-semantics/semantics/bool.k	46	rule	priority	1da617ae289768882fb6780ddef9c967f8b30389f7e29694fbe4143e85146236	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
supplied	/reference/reference-semantics/semantics/bool.k	50	rule	priority	2eb620e8bf34c458becc919febceee04cab4f37e1a1ed7956f119a8b1265009e	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
supplied	/reference/reference-semantics/semantics/bool.k	54	rule	priority	86c2967b9fc68899e77c31f07a35e2359123a4ec12bb59c71db0aed88426d464	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
