verification.k syntax=9 rule=16 context=0 claim=0 function_decl_lines=9 total_mentions=9 priority=0 simplification=2 symbol=0
spec.k syntax=0 rule=0 context=0 claim=3 function_decl_lines=0 total_mentions=0 priority=0 simplification=0 symbol=0
reference-semantics/semantics.k syntax=0 rule=0 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=0 simplification=0 symbol=0
reference-semantics/semantics/assert.k syntax=0 rule=3 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=1 simplification=0 symbol=0
reference-semantics/semantics/bool.k syntax=0 rule=13 context=1 claim=0 function_decl_lines=0 total_mentions=0 priority=5 simplification=0 symbol=0
reference-semantics/semantics/builtins.k syntax=38 rule=137 context=0 claim=0 function_decl_lines=30 total_mentions=23 priority=1 simplification=0 symbol=1
reference-semantics/semantics/call.k syntax=3 rule=21 context=0 claim=0 function_decl_lines=1 total_mentions=1 priority=5 simplification=0 symbol=0
reference-semantics/semantics/comprehension.k syntax=3 rule=7 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=0 simplification=0 symbol=0
reference-semantics/semantics/concrete.k syntax=5 rule=16 context=0 claim=0 function_decl_lines=3 total_mentions=1 priority=2 simplification=0 symbol=0
reference-semantics/semantics/controls.k syntax=3 rule=34 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=6 simplification=0 symbol=0
reference-semantics/semantics/core.k syntax=37 rule=46 context=0 claim=0 function_decl_lines=15 total_mentions=11 priority=2 simplification=0 symbol=0
reference-semantics/semantics/dict.k syntax=12 rule=28 context=0 claim=0 function_decl_lines=8 total_mentions=6 priority=2 simplification=0 symbol=0
reference-semantics/semantics/float.k syntax=34 rule=121 context=0 claim=0 function_decl_lines=26 total_mentions=25 priority=4 simplification=0 symbol=22
reference-semantics/semantics/functions.k syntax=4 rule=15 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=1 simplification=0 symbol=0
reference-semantics/semantics/int.k syntax=1 rule=16 context=0 claim=0 function_decl_lines=1 total_mentions=0 priority=0 simplification=0 symbol=0
reference-semantics/semantics/iter.k syntax=1 rule=0 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=0 simplification=0 symbol=0
reference-semantics/semantics/list.k syntax=5 rule=27 context=0 claim=0 function_decl_lines=4 total_mentions=2 priority=2 simplification=0 symbol=0
reference-semantics/semantics/methods.k syntax=27 rule=75 context=0 claim=0 function_decl_lines=27 total_mentions=22 priority=3 simplification=0 symbol=0
reference-semantics/semantics/operators.k syntax=0 rule=10 context=2 claim=0 function_decl_lines=0 total_mentions=0 priority=5 simplification=0 symbol=0
reference-semantics/semantics/range.k syntax=2 rule=6 context=0 claim=0 function_decl_lines=2 total_mentions=1 priority=0 simplification=0 symbol=0
reference-semantics/semantics/set.k syntax=6 rule=12 context=0 claim=0 function_decl_lines=6 total_mentions=6 priority=0 simplification=0 symbol=0
reference-semantics/semantics/sort.k syntax=6 rule=19 context=0 claim=0 function_decl_lines=7 total_mentions=6 priority=1 simplification=0 symbol=2
reference-semantics/semantics/str.k syntax=5 rule=28 context=0 claim=0 function_decl_lines=5 total_mentions=4 priority=0 simplification=0 symbol=0
reference-semantics/semantics/subscript.k syntax=15 rule=40 context=2 claim=0 function_decl_lines=13 total_mentions=10 priority=2 simplification=0 symbol=0
reference-semantics/semantics/syntax.k syntax=16 rule=0 context=0 claim=0 function_decl_lines=0 total_mentions=0 priority=0 simplification=0 symbol=0
reference-semantics/semantics/tuple.k syntax=4 rule=21 context=0 claim=0 function_decl_lines=1 total_mentions=0 priority=3 simplification=0 symbol=0
