provenance	file	start_line	end_line	kind	attributes	classification	declaration
fixed	/reference/reference-semantics/semantics.k	34	34	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/syntax.k"""
fixed	/reference/reference-semantics/semantics.k	35	35	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/core.k"""
fixed	/reference/reference-semantics/semantics.k	36	36	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/iter.k"""
fixed	/reference/reference-semantics/semantics.k	37	37	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/range.k"""
fixed	/reference/reference-semantics/semantics.k	38	38	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/operators.k"""
fixed	/reference/reference-semantics/semantics.k	39	39	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/int.k"""
fixed	/reference/reference-semantics/semantics.k	40	40	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/bool.k"""
fixed	/reference/reference-semantics/semantics.k	41	41	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/float.k"""
fixed	/reference/reference-semantics/semantics.k	42	42	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/str.k"""
fixed	/reference/reference-semantics/semantics.k	43	43	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/set.k"""
fixed	/reference/reference-semantics/semantics.k	44	44	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/list.k"""
fixed	/reference/reference-semantics/semantics.k	45	45	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/tuple.k"""
fixed	/reference/reference-semantics/semantics.k	46	46	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/subscript.k"""
fixed	/reference/reference-semantics/semantics.k	47	47	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/comprehension.k"""
fixed	/reference/reference-semantics/semantics.k	48	48	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/methods.k"""
fixed	/reference/reference-semantics/semantics.k	49	49	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/controls.k"""
fixed	/reference/reference-semantics/semantics.k	50	50	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/functions.k"""
fixed	/reference/reference-semantics/semantics.k	51	51	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/builtins.k"""
fixed	/reference/reference-semantics/semantics.k	52	52	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/call.k"""
fixed	/reference/reference-semantics/semantics.k	53	53	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/sort.k"""
fixed	/reference/reference-semantics/semantics.k	54	54	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/assert.k"""
fixed	/reference/reference-semantics/semantics.k	55	55	requires		SUPPLIED_FIXED_DECLARATION	"requires ""semantics/dict.k"""
fixed	/reference/reference-semantics/semantics.k	56	56	requires	concrete	SUPPLIED_FIXED_DECLARATION	"requires ""semantics/concrete.k"""
fixed	/reference/reference-semantics/semantics.k	58	58	module		SUPPLIED_FIXED_DECLARATION	module MPY
fixed	/reference/reference-semantics/semantics.k	59	59	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-CORE
fixed	/reference/reference-semantics/semantics.k	60	60	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-ITER
fixed	/reference/reference-semantics/semantics.k	61	61	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-RANGE
fixed	/reference/reference-semantics/semantics.k	62	62	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-OPERATORS
fixed	/reference/reference-semantics/semantics.k	63	63	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-INT
fixed	/reference/reference-semantics/semantics.k	64	64	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-BOOL
fixed	/reference/reference-semantics/semantics.k	65	65	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-FLOAT
fixed	/reference/reference-semantics/semantics.k	66	66	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-STR
fixed	/reference/reference-semantics/semantics.k	67	67	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-SET
fixed	/reference/reference-semantics/semantics.k	68	68	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-LIST
fixed	/reference/reference-semantics/semantics.k	69	69	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-TUPLE
fixed	/reference/reference-semantics/semantics.k	70	70	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-SUBSCRIPT
fixed	/reference/reference-semantics/semantics.k	71	71	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-COMPREHENSION
fixed	/reference/reference-semantics/semantics.k	72	72	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-METHODS
fixed	/reference/reference-semantics/semantics.k	73	73	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-CONTROLS
fixed	/reference/reference-semantics/semantics.k	74	74	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-FUNCTIONS
fixed	/reference/reference-semantics/semantics.k	75	75	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-BUILTINS
fixed	/reference/reference-semantics/semantics.k	76	76	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-CALL
fixed	/reference/reference-semantics/semantics.k	77	77	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-SORT
fixed	/reference/reference-semantics/semantics.k	78	78	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-ASSERT
fixed	/reference/reference-semantics/semantics.k	79	79	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-DICT
fixed	/reference/reference-semantics/semantics.k	80	80	endmodule		SUPPLIED_FIXED_DECLARATION	endmodule
fixed	/reference/reference-semantics/semantics.k	87	87	module		SUPPLIED_FIXED_DECLARATION	module MPY-KRUN
fixed	/reference/reference-semantics/semantics.k	88	88	imports		SUPPLIED_FIXED_DECLARATION	imports MPY
fixed	/reference/reference-semantics/semantics.k	89	89	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-CONCRETE
fixed	/reference/reference-semantics/semantics.k	90	90	endmodule		SUPPLIED_FIXED_DECLARATION	endmodule
fixed	/reference/reference-semantics/semantics/assert.k	3	3	module		SUPPLIED_FIXED_DECLARATION	module MPY-ASSERT
fixed	/reference/reference-semantics/semantics/assert.k	4	4	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-CORE
fixed	/reference/reference-semantics/semantics/assert.k	6	7	rule		SUPPLIED_FIXED_SEMANTIC_RULE	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
fixed	/reference/reference-semantics/semantics/assert.k	8	11	rule		SUPPLIED_FIXED_SEMANTIC_RULE	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
fixed	/reference/reference-semantics/semantics/assert.k	13	15	rule	priority(40)	SUPPLIED_FIXED_SEMANTIC_RULE	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
fixed	/reference/reference-semantics/semantics/assert.k	16	16	endmodule		SUPPLIED_FIXED_DECLARATION	endmodule
fixed	/reference/reference-semantics/semantics/bool.k	5	5	module		SUPPLIED_FIXED_DECLARATION	module MPY-BOOL
fixed	/reference/reference-semantics/semantics/bool.k	6	6	imports		SUPPLIED_FIXED_DECLARATION	imports MPY-CORE
fixed	/reference/reference-semantics/semantics/bool.k	8	8	rule		SUPPLIED_FIXED_SEMANTIC_RULE	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
fixed	/reference/reference-semantics/semantics/bool.k	10	10	rule		SUPPLIED_FIXED_SEMANTIC_RULE	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
fixed	/reference/reference-semantics/semantics/bool.k	11	11	rule		SUPPLIED_FIXED_SEMANTIC_RULE	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
fixed	/reference/reference-semantics/semantics/bool.k	17	18	rule		SUPPLIED_FIXED_SEMANTIC_RULE	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I) requires isEqOrdOp(OP)
