file	line	entity	tags	program_path	disposition	declaration_or_rule
semantics/call.k	19	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax KItem ::= #callee(Exprs)
semantics/call.k	20	rule	owise	YES	FIXED_USED_PATH_ACCEPTED	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
semantics/call.k	21	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
semantics/call.k	69	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
semantics/core.k	25	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Val      ::= Int | Bool | "noneV" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method
semantics/core.k	36	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Parent   ::= "root" | parent(Int)
semantics/core.k	37	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Scope    ::= scope(Map, Parent)
semantics/core.k	38	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax KResult  ::= Val
semantics/core.k	39	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Expr     ::= Val   // cooling puts results back into expression holes
semantics/core.k	40	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Vals     ::= List{Val, ","}
semantics/core.k	41	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Exc      ::= "NoExc" | "AssertionError"
semantics/core.k	42	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax RetState ::= "noRet" | retV(Val)
semantics/core.k	49	configuration	-	YES	FIXED_USED_PATH_ACCEPTED	configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""> 0 </exit-code>
semantics/core.k	124	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax KItem ::= #loadAll(Module)
semantics/core.k	125	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
semantics/core.k	126	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
semantics/core.k	127	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> .Stmts => .K ... </k>
semantics/core.k	130	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax KItem ::= #look(String, Int)
semantics/core.k	131	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
semantics/core.k	132	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M)
semantics/core.k	152	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M))
