id	path	line	scope	kind	subtype	attributes	decision	text
K0001	reference-semantics/semantics/assert.k	6	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0002	reference-semantics/semantics/assert.k	8	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0003	reference-semantics/semantics/assert.k	13	supplied-semantics	rule	priority-rule	priority	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	reference-semantics/semantics/bool.k	8	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
K0005	reference-semantics/semantics/bool.k	10	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
K0006	reference-semantics/semantics/bool.k	11	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
K0007	reference-semantics/semantics/bool.k	16	supplied-semantics	context	context	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	reference-semantics/semantics/bool.k	17	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	reference-semantics/semantics/bool.k	18	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
K0010	reference-semantics/semantics/bool.k	20	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
K0011	reference-semantics/semantics/bool.k	22	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
K0012	reference-semantics/semantics/bool.k	24	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
K0013	reference-semantics/semantics/bool.k	29	supplied-semantics	rule	priority-rule	priority	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	reference-semantics/semantics/bool.k	31	supplied-semantics	rule	priority-rule	priority	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0015	reference-semantics/semantics/bool.k	35	supplied-semantics	rule	priority-rule	priority	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0016	reference-semantics/semantics/bool.k	39	supplied-semantics	rule	priority-rule	priority	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0017	reference-semantics/semantics/bool.k	43	supplied-semantics	rule	priority-rule	priority	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0018	reference-semantics/semantics/builtins.k	17	supplied-semantics	syntax	function-declaration	function	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Val ::= applyBuiltin(String, Vals) [function]
K0019	reference-semantics/semantics/builtins.k	20	supplied-semantics	syntax	function-declaration	function	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= seqLen(Val) [function]
K0020	reference-semantics/semantics/builtins.k	21	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
K0021	reference-semantics/semantics/builtins.k	22	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
K0022	reference-semantics/semantics/builtins.k	23	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
K0023	reference-semantics/semantics/builtins.k	24	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
K0024	reference-semantics/semantics/builtins.k	25	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
K0025	reference-semantics/semantics/builtins.k	26	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0026	reference-semantics/semantics/builtins.k	32	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
