file,line,kind,assessment,basis,source_head
reference-semantics/semantics/assert.k,6,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> Assert(V:Val) => .K ... </k>
reference-semantics/semantics/assert.k,8,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> Assert(V:Val) ~> _ => .K </k>
reference-semantics/semantics/assert.k,13,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
reference-semantics/semantics/bool.k,8,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyUn(""not"", V:Val) => notBool truthy(V)"
reference-semantics/semantics/bool.k,10,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
reference-semantics/semantics/bool.k,11,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
reference-semantics/semantics/bool.k,16,context,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"context BoolOp(_, (HOLE:Expr, _:Exprs))"
reference-semantics/semantics/bool.k,17,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>"
reference-semantics/semantics/bool.k,18,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k,20,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
reference-semantics/semantics/bool.k,22,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>"
reference-semantics/semantics/bool.k,24,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k,29,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>"
reference-semantics/semantics/bool.k,31,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k,35,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>"
reference-semantics/semantics/bool.k,39,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>"
reference-semantics/semantics/bool.k,43,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
reference-semantics/semantics/builtins.k,17,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Val ::= applyBuiltin(String, Vals) [function]"
reference-semantics/semantics/builtins.k,20,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k,21,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
reference-semantics/semantics/builtins.k,22,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k,23,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k,24,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k,25,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k,26,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)"
reference-semantics/semantics/builtins.k,32,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k,33,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k,34,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
reference-semantics/semantics/builtins.k,35,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
reference-semantics/semantics/builtins.k,36,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax ValSeq ::= charsOf(IntSeq) [function, total]"
reference-semantics/semantics/builtins.k,37,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k,38,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))"
reference-semantics/semantics/builtins.k,41,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
reference-semantics/semantics/builtins.k,44,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
reference-semantics/semantics/builtins.k,47,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)"
reference-semantics/semantics/builtins.k,48,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>"
reference-semantics/semantics/builtins.k,49,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k,50,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)"
reference-semantics/semantics/builtins.k,54,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k,55,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k,56,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k,59,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
reference-semantics/semantics/builtins.k,60,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k,61,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k,62,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>"
reference-semantics/semantics/builtins.k,64,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>"
reference-semantics/semantics/builtins.k,67,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
reference-semantics/semantics/builtins.k,68,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
