origin	file	line	kind	materiality	attributes	disposition	compact_declaration	full_block_escaped
trusted_supplied_semantics	semantics/assert.k	3	module	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	module MPY-ASSERT	module MPY-ASSERT
trusted_supplied_semantics	semantics/assert.k	4	imports	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	imports MPY-CORE	  imports MPY-CORE
trusted_supplied_semantics	semantics/assert.k	6	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	  rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)
trusted_supplied_semantics	semantics/assert.k	8	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	  rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)
trusted_supplied_semantics	semantics/assert.k	13	rule	baseline_unused_by_submitted_program	priority	FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted_supplied_semantics	semantics/assert.k	16	endmodule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	endmodule	endmodule
trusted_supplied_semantics	semantics/bool.k	5	module	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	module MPY-BOOL	module MPY-BOOL
trusted_supplied_semantics	semantics/bool.k	6	imports	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	imports MPY-CORE	  imports MPY-CORE
trusted_supplied_semantics	semantics/bool.k	8	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule applyUn("not", V:Val) => notBool truthy(V)	  rule applyUn("not", V:Val) => notBool truthy(V)
trusted_supplied_semantics	semantics/bool.k	10	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2	  rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
