WORKDIR: /tmp/audit-work/112-reverse-delete
COMMAND: /audit-output/evidence/k_rule_inventory.py
# Exhaustive K declaration and rule inventory

Files: 26
Inventory rows: 942
Kinds: {'claim': 2, 'configuration': 1, 'context': 5, 'rule': 704, 'syntax': 230}
Decision classes: {'ACCEPT': 142, 'TARGET': 2, 'UNREACHED': 776, 'UNUSED OPAQUE': 22}
Attributes: {'concrete': 35, 'function': 149, 'macro': 3, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority(39)': 1, 'priority(40)': 42, 'priority(45)': 3, 'seqstrict(2, 3)': 1, 'simplification': 4, 'strict(1)': 2, 'strict(2)': 2, 'strict(3)': 1, 'symbol(absF)': 1, 'symbol(addF)': 1, 'symbol(ceilF)': 1, 'symbol(decStrToF)': 1, 'symbol(divF)': 1, 'symbol(divFloatIntV)': 1, 'symbol(divII)': 1, 'symbol(eqF)': 1, 'symbol(floatLt)': 1, 'symbol(floatMod)': 1, 'symbol(floorFI)': 1, 'symbol(gtF)': 1, 'symbol(intFloatDiv)': 1, 'symbol(intToF)': 1, 'symbol(md5hexCodes)': 1, 'symbol(mulF)': 1, 'symbol(powF)': 1, 'symbol(roundF)': 1, 'symbol(roundFN)': 1, 'symbol(sortKeyVS)': 1, 'symbol(sortVS)': 1, 'symbol(sqrtF)': 1, 'symbol(subF)': 1, 'symbol(toF)': 1, 'symbol(truncF)': 1, 'total': 110}

| Source | Line | Kind | Attributes | Decision | Normalized declaration/rule |
|---|---:|---|---|---|---|
| `semantics/assert.k` | 6 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)` |
| `semantics/assert.k` | 8 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)` |
| `semantics/assert.k` | 13 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H \|-> V:Val ... </heap> [priority(40)]` |
| `semantics/bool.k` | 8 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyUn("not", V:Val) => notBool truthy(V)` |
| `semantics/bool.k` | 10 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2` |
| `semantics/bool.k` | 11 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2` |
| `semantics/bool.k` | 16 | context | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `context BoolOp(_, (HOLE:Expr, _:Exprs))` |
| `semantics/bool.k` | 17 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>` |
| `semantics/bool.k` | 18 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)` |
| `semantics/bool.k` | 20 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)` |
| `semantics/bool.k` | 22 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)` |
