file	line	kind	classification	attributes	declaration	audit_decision	audit_rationale
/candidate/reference-semantics/semantics/assert.k	3	module	module		module MPY-ASSERT imports MPY-CORE	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/assert.k	6	rule	operational-rule		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/assert.k	8	rule	operational-rule		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/assert.k	13	rule	operational-rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	5	module	module		module MPY-BOOL imports MPY-CORE	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	8	rule	function-or-equational-rule		"rule applyUn(""not"", V:Val) => notBool truthy(V)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	10	rule	function-or-equational-rule		"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	11	rule	function-or-equational-rule		"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	16	context	context		context BoolOp(_, (HOLE:Expr, _:Exprs))	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	17	rule	operational-rule		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	18	rule	operational-rule		"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	20	rule	operational-rule		"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	22	rule	operational-rule		"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	24	rule	operational-rule		"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	29	rule	operational-rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	31	rule	operational-rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	35	rule	operational-rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/bool.k	39	rule	operational-rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/bool.k	43	rule	operational-rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	3	module	module		module MPY-BUILTINS imports MPY-CORE imports MPY-STR imports MPY-SET imports MPY-ITER imports MPY-RANGE imports MPY-INT imports MPY-METHODS	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	17	syntax	syntax-declaration	function	syntax Val ::= applyBuiltin(String, Vals) [function]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	20	syntax	syntax-declaration	function	syntax Int ::= seqLen(Val) [function]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	21	rule	function-or-equational-rule		"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	22	rule	function-or-equational-rule		rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	23	rule	function-or-equational-rule		rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	24	rule	function-or-equational-rule		rule seqLen(str(IS:IntSeq))                   => isLen(IS)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	25	rule	function-or-equational-rule		rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	26	rule	function-or-equational-rule		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	32	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	33	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	34	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	35	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	36	syntax	syntax-declaration	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	37	rule	function-or-equational-rule		rule charsOf(.IntSeq)                => .ValSeq	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
