file	line	kind	classification	attributes	declaration
/candidate/reference-semantics/semantics/assert.k	3	module	module		module MPY-ASSERT imports MPY-CORE
/candidate/reference-semantics/semantics/assert.k	6	rule	operational-rule		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
/candidate/reference-semantics/semantics/assert.k	8	rule	operational-rule		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
/candidate/reference-semantics/semantics/assert.k	13	rule	operational-rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/candidate/reference-semantics/semantics/bool.k	5	module	module		module MPY-BOOL imports MPY-CORE
/candidate/reference-semantics/semantics/bool.k	8	rule	function-or-equational-rule		"rule applyUn(""not"", V:Val) => notBool truthy(V)"
/candidate/reference-semantics/semantics/bool.k	10	rule	function-or-equational-rule		"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
/candidate/reference-semantics/semantics/bool.k	11	rule	function-or-equational-rule		"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
/candidate/reference-semantics/semantics/bool.k	16	context	context		context BoolOp(_, (HOLE:Expr, _:Exprs))
/candidate/reference-semantics/semantics/bool.k	17	rule	operational-rule		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/candidate/reference-semantics/semantics/bool.k	18	rule	operational-rule		"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
/candidate/reference-semantics/semantics/bool.k	20	rule	operational-rule		"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
/candidate/reference-semantics/semantics/bool.k	22	rule	operational-rule		"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
/candidate/reference-semantics/semantics/bool.k	24	rule	operational-rule		"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
/candidate/reference-semantics/semantics/bool.k	29	rule	operational-rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/candidate/reference-semantics/semantics/bool.k	31	rule	operational-rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
/candidate/reference-semantics/semantics/bool.k	35	rule	operational-rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
/candidate/reference-semantics/semantics/bool.k	39	rule	operational-rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
/candidate/reference-semantics/semantics/bool.k	43	rule	operational-rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
/candidate/reference-semantics/semantics/builtins.k	3	module	module		module MPY-BUILTINS imports MPY-CORE imports MPY-STR imports MPY-SET imports MPY-ITER imports MPY-RANGE imports MPY-INT imports MPY-METHODS
/candidate/reference-semantics/semantics/builtins.k	17	syntax	syntax-declaration	function	syntax Val ::= applyBuiltin(String, Vals) [function]
/candidate/reference-semantics/semantics/builtins.k	20	syntax	syntax-declaration	function	syntax Int ::= seqLen(Val) [function]
/candidate/reference-semantics/semantics/builtins.k	21	rule	function-or-equational-rule		"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
/candidate/reference-semantics/semantics/builtins.k	22	rule	function-or-equational-rule		rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
/candidate/reference-semantics/semantics/builtins.k	23	rule	function-or-equational-rule		rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
/candidate/reference-semantics/semantics/builtins.k	24	rule	function-or-equational-rule		rule seqLen(str(IS:IntSeq))                   => isLen(IS)
/candidate/reference-semantics/semantics/builtins.k	25	rule	function-or-equational-rule		rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
/candidate/reference-semantics/semantics/builtins.k	26	rule	function-or-equational-rule		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
/candidate/reference-semantics/semantics/builtins.k	32	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
/candidate/reference-semantics/semantics/builtins.k	33	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
/candidate/reference-semantics/semantics/builtins.k	34	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
/candidate/reference-semantics/semantics/builtins.k	35	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
/candidate/reference-semantics/semantics/builtins.k	36	syntax	syntax-declaration	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	37	rule	function-or-equational-rule		rule charsOf(.IntSeq)                => .ValSeq
/candidate/reference-semantics/semantics/builtins.k	38	rule	function-or-equational-rule		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
/candidate/reference-semantics/semantics/builtins.k	41	rule	function-or-equational-rule		"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
/candidate/reference-semantics/semantics/builtins.k	44	rule	function-or-equational-rule		"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
/candidate/reference-semantics/semantics/builtins.k	47	syntax	syntax-declaration		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/candidate/reference-semantics/semantics/builtins.k	48	rule	operational-rule		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/candidate/reference-semantics/semantics/builtins.k	49	rule	operational-rule		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
/candidate/reference-semantics/semantics/builtins.k	50	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
/candidate/reference-semantics/semantics/builtins.k	54	syntax	syntax-declaration	function	syntax Int ::= intOf(Val) [function]
/candidate/reference-semantics/semantics/builtins.k	55	rule	function-or-equational-rule		rule intOf(I:Int)  => I
/candidate/reference-semantics/semantics/builtins.k	56	rule	function-or-equational-rule		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
/candidate/reference-semantics/semantics/builtins.k	59	syntax	syntax-declaration		"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
/candidate/reference-semantics/semantics/builtins.k	60	rule	operational-rule		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
/candidate/reference-semantics/semantics/builtins.k	61	rule	operational-rule		rule <k> #iterDone ~> #allCont => true ... </k>
/candidate/reference-semantics/semantics/builtins.k	62	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
/candidate/reference-semantics/semantics/builtins.k	64	rule	operational-rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
/candidate/reference-semantics/semantics/builtins.k	67	syntax	syntax-declaration		"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
/candidate/reference-semantics/semantics/builtins.k	68	rule	operational-rule		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
/candidate/reference-semantics/semantics/builtins.k	69	rule	operational-rule		rule <k> #iterDone ~> #anyCont => false ... </k>
/candidate/reference-semantics/semantics/builtins.k	70	rule	operational-rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
/candidate/reference-semantics/semantics/builtins.k	72	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
/candidate/reference-semantics/semantics/builtins.k	76	syntax	syntax-declaration		"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
/candidate/reference-semantics/semantics/builtins.k	77	rule	operational-rule		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
/candidate/reference-semantics/semantics/builtins.k	78	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
/candidate/reference-semantics/semantics/builtins.k	80	rule	operational-rule		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
/candidate/reference-semantics/semantics/builtins.k	81	rule	operational-rule		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
/candidate/reference-semantics/semantics/builtins.k	82	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
/candidate/reference-semantics/semantics/builtins.k	86	syntax	syntax-declaration		"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
/candidate/reference-semantics/semantics/builtins.k	87	rule	operational-rule		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
/candidate/reference-semantics/semantics/builtins.k	88	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
/candidate/reference-semantics/semantics/builtins.k	90	rule	operational-rule		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
/candidate/reference-semantics/semantics/builtins.k	91	rule	operational-rule		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
/candidate/reference-semantics/semantics/builtins.k	92	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
/candidate/reference-semantics/semantics/builtins.k	97	syntax	syntax-declaration	function	syntax Int ::= maxVals(Int, Vals) [function]
/candidate/reference-semantics/semantics/builtins.k	98	rule	function-or-equational-rule		"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
/candidate/reference-semantics/semantics/builtins.k	99	rule	function-or-equational-rule		rule maxVals(M:Int, .Vals)           => M
/candidate/reference-semantics/semantics/builtins.k	100	rule	function-or-equational-rule		rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
/candidate/reference-semantics/semantics/builtins.k	102	syntax	syntax-declaration	function	syntax Int ::= minVals(Int, Vals) [function]
/candidate/reference-semantics/semantics/builtins.k	103	rule	function-or-equational-rule		"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
/candidate/reference-semantics/semantics/builtins.k	104	rule	function-or-equational-rule		rule minVals(M:Int, .Vals)           => M
/candidate/reference-semantics/semantics/builtins.k	105	rule	function-or-equational-rule		rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
/candidate/reference-semantics/semantics/builtins.k	108	rule	function-or-equational-rule		"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
/candidate/reference-semantics/semantics/builtins.k	111	rule	function-or-equational-rule		"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
