$ /audit-output/evidence/run_differential.sh
$ python3 /audit-output/evidence/differential_test.py
canonical=/reference/canonical.py
candidate=/tmp/audit-work/140-fix-spaces/solution.py
inputs_artifact=/audit-output/evidence/differential-inputs.jsonl
tested_inputs=4249
candidate_vs_canonical_mismatches=254
candidate_vs_prompt_model_mismatches=0
canonical_vs_prompt_model_mismatches=254
first_candidate_vs_canonical_mismatches:
{"candidate": "__", "canonical": "_", "index": 6, "input": "  ", "label": "only-2-spaces", "prompt_model": "__"}
{"candidate": "a__", "canonical": "a_", "index": 10, "input": "a  ", "label": "trailing-2", "prompt_model": "a__"}
{"candidate": "__a-b__", "canonical": "__a-b_", "index": 20, "input": "  a   b  ", "label": "two-runs", "prompt_model": "__a-b__"}
{"candidate": "b__", "canonical": "b_", "index": 45, "input": "b  ", "label": "exhaustive-3", "prompt_model": "b__"}
{"candidate": "_a__", "canonical": "_a_", "index": 61, "input": " a  ", "label": "exhaustive-4", "prompt_model": "_a__"}
{"candidate": "_b__", "canonical": "_b_", "index": 70, "input": " b  ", "label": "exhaustive-4", "prompt_model": "_b__"}
{"candidate": "aa__", "canonical": "aa_", "index": 86, "input": "aa  ", "label": "exhaustive-4", "prompt_model": "aa__"}
{"candidate": "ab__", "canonical": "ab_", "index": 95, "input": "ab  ", "label": "exhaustive-4", "prompt_model": "ab__"}
{"candidate": "ba__", "canonical": "ba_", "index": 113, "input": "ba  ", "label": "exhaustive-4", "prompt_model": "ba__"}
{"candidate": "bb__", "canonical": "bb_", "index": 122, "input": "bb  ", "label": "exhaustive-4", "prompt_model": "bb__"}
{"candidate": "__a__", "canonical": "__a_", "index": 140, "input": "  a  ", "label": "exhaustive-5", "prompt_model": "__a__"}
{"candidate": "__b__", "canonical": "__b_", "index": 149, "input": "  b  ", "label": "exhaustive-5", "prompt_model": "__b__"}
{"candidate": "_aa__", "canonical": "_aa_", "index": 167, "input": " aa  ", "label": "exhaustive-5", "prompt_model": "_aa__"}
{"candidate": "_ab__", "canonical": "_ab_", "index": 176, "input": " ab  ", "label": "exhaustive-5", "prompt_model": "_ab__"}
{"candidate": "_ba__", "canonical": "_ba_", "index": 194, "input": " ba  ", "label": "exhaustive-5", "prompt_model": "_ba__"}
{"candidate": "_bb__", "canonical": "_bb_", "index": 203, "input": " bb  ", "label": "exhaustive-5", "prompt_model": "_bb__"}
{"candidate": "a_a__", "canonical": "a_a_", "index": 220, "input": "a a  ", "label": "exhaustive-5", "prompt_model": "a_a__"}
{"candidate": "a_b__", "canonical": "a_b_", "index": 229, "input": "a b  ", "label": "exhaustive-5", "prompt_model": "a_b__"}
{"candidate": "aaa__", "canonical": "aaa_", "index": 247, "input": "aaa  ", "label": "exhaustive-5", "prompt_model": "aaa__"}
{"candidate": "aab__", "canonical": "aab_", "index": 256, "input": "aab  ", "label": "exhaustive-5", "prompt_model": "aab__"}
[exit 1]
[script exit 1]
