file	line	kind	classification	attributes	relevance	decision	declaration
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/assert.k	6	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> Assert(V:Val) => .K ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/assert.k	8	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/assert.k	13	rule	ordinary-rule	priority	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	8	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyUn("not", V:Val) => notBool truthy(V)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	10	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	11	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	16	context	context		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	context BoolOp(_, (HOLE:Expr, _:Exprs))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	17	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	18	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	20	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	22	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	24	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	29	rule	ordinary-rule	priority	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	31	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	35	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	39	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/bool.k	43	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	17	syntax	function-syntax	function	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Val ::= applyBuiltin(String, Vals) [function]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	20	syntax	function-syntax	function	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Int ::= seqLen(Val) [function]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	21	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	22	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	23	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	24	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	25	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	26	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	32	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	33	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	34	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
