id	origin	path	line	kind	attributes	disposition	declaration_or_rule
1	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/assert.k	6	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/assert.k	8	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/assert.k	13	rule	priority	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	8	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyUn("not", V:Val) => notBool truthy(V)
5	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	10	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	11	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
7	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	17	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I) requires isEqOrdOp(OP)
8	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	19	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B)) requires isEqOrdOp(OP)
9	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	21	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2)) requires isOrdOp(OP)
10	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	27	context	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	context BoolOp(_, (HOLE:Expr, _:Exprs))
