origin	path	line	kind	attributes	decision	source_excerpt
supplied	reference-semantics/semantics/assert.k	6	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
supplied	reference-semantics/semantics/assert.k	8	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
supplied	reference-semantics/semantics/assert.k	13	rule	priority	SUPPLIED_FIXED_SEMANTICS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
supplied	reference-semantics/semantics/bool.k	8	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyUn("not", V:Val) => notBool truthy(V)
supplied	reference-semantics/semantics/bool.k	10	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
supplied	reference-semantics/semantics/bool.k	11	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
supplied	reference-semantics/semantics/bool.k	16	context	-	SUPPLIED_FIXED_SEMANTICS	context BoolOp(_, (HOLE:Expr, _:Exprs))
supplied	reference-semantics/semantics/bool.k	17	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
supplied	reference-semantics/semantics/bool.k	18	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
supplied	reference-semantics/semantics/bool.k	20	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
supplied	reference-semantics/semantics/bool.k	22	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
supplied	reference-semantics/semantics/bool.k	24	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
supplied	reference-semantics/semantics/bool.k	29	rule	priority	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
supplied	reference-semantics/semantics/bool.k	31	rule	priority	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
supplied	reference-semantics/semantics/bool.k	35	rule	priority	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
supplied	reference-semantics/semantics/bool.k	39	rule	priority	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
supplied	reference-semantics/semantics/bool.k	43	rule	priority	SUPPLIED_FIXED_SEMANTICS	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
supplied	reference-semantics/semantics/builtins.k	17	syntax	function	SUPPLIED_FIXED_SEMANTICS	syntax Val ::= applyBuiltin(String, Vals) [function]
supplied	reference-semantics/semantics/builtins.k	20	syntax	function	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= seqLen(Val) [function]
supplied	reference-semantics/semantics/builtins.k	21	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
supplied	reference-semantics/semantics/builtins.k	22	rule	-	SUPPLIED_FIXED_SEMANTICS	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
supplied	reference-semantics/semantics/builtins.k	23	rule	-	SUPPLIED_FIXED_SEMANTICS	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
supplied	reference-semantics/semantics/builtins.k	24	rule	-	SUPPLIED_FIXED_SEMANTICS	rule seqLen(str(IS:IntSeq)) => isLen(IS)
supplied	reference-semantics/semantics/builtins.k	25	rule	-	SUPPLIED_FIXED_SEMANTICS	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
supplied	reference-semantics/semantics/builtins.k	26	rule	-	SUPPLIED_FIXED_SEMANTICS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
supplied	reference-semantics/semantics/builtins.k	32	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
supplied	reference-semantics/semantics/builtins.k	33	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
supplied	reference-semantics/semantics/builtins.k	34	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
supplied	reference-semantics/semantics/builtins.k	35	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
supplied	reference-semantics/semantics/builtins.k	36	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	37	rule	-	SUPPLIED_FIXED_SEMANTICS	rule charsOf(.IntSeq) => .ValSeq
supplied	reference-semantics/semantics/builtins.k	38	rule	-	SUPPLIED_FIXED_SEMANTICS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
supplied	reference-semantics/semantics/builtins.k	41	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
supplied	reference-semantics/semantics/builtins.k	44	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
supplied	reference-semantics/semantics/builtins.k	47	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
supplied	reference-semantics/semantics/builtins.k	48	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
supplied	reference-semantics/semantics/builtins.k	49	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
supplied	reference-semantics/semantics/builtins.k	50	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
supplied	reference-semantics/semantics/builtins.k	54	syntax	function	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= intOf(Val) [function]
supplied	reference-semantics/semantics/builtins.k	55	rule	-	SUPPLIED_FIXED_SEMANTICS	rule intOf(I:Int) => I
supplied	reference-semantics/semantics/builtins.k	56	rule	-	SUPPLIED_FIXED_SEMANTICS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
supplied	reference-semantics/semantics/builtins.k	59	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax KItem ::= #allAcc(Iterable) | "#allCont"
supplied	reference-semantics/semantics/builtins.k	60	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
supplied	reference-semantics/semantics/builtins.k	61	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterDone ~> #allCont => true ... </k>
supplied	reference-semantics/semantics/builtins.k	62	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
supplied	reference-semantics/semantics/builtins.k	64	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
supplied	reference-semantics/semantics/builtins.k	67	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
supplied	reference-semantics/semantics/builtins.k	68	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
supplied	reference-semantics/semantics/builtins.k	69	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterDone ~> #anyCont => false ... </k>
supplied	reference-semantics/semantics/builtins.k	70	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
supplied	reference-semantics/semantics/builtins.k	72	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
supplied	reference-semantics/semantics/builtins.k	76	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
supplied	reference-semantics/semantics/builtins.k	77	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
supplied	reference-semantics/semantics/builtins.k	78	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
supplied	reference-semantics/semantics/builtins.k	80	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
supplied	reference-semantics/semantics/builtins.k	81	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
supplied	reference-semantics/semantics/builtins.k	82	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
supplied	reference-semantics/semantics/builtins.k	86	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
supplied	reference-semantics/semantics/builtins.k	87	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
supplied	reference-semantics/semantics/builtins.k	88	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
supplied	reference-semantics/semantics/builtins.k	90	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
supplied	reference-semantics/semantics/builtins.k	91	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
supplied	reference-semantics/semantics/builtins.k	92	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
supplied	reference-semantics/semantics/builtins.k	97	syntax	function	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= maxVals(Int, Vals) [function]
supplied	reference-semantics/semantics/builtins.k	98	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
supplied	reference-semantics/semantics/builtins.k	99	rule	-	SUPPLIED_FIXED_SEMANTICS	rule maxVals(M:Int, .Vals) => M
supplied	reference-semantics/semantics/builtins.k	100	rule	-	SUPPLIED_FIXED_SEMANTICS	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
supplied	reference-semantics/semantics/builtins.k	102	syntax	function	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= minVals(Int, Vals) [function]
supplied	reference-semantics/semantics/builtins.k	103	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
