file	syntax	rule	context	configuration	claim	function_attrs	total_attrs	simplification_attrs	priority_attrs	no_evaluators_attrs	macro_attrs	owise_attrs
/tmp/audit-work/130-tri-audit/reference-semantics/semantics.k	0	0	0	0	0	0	0	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/assert.k	0	3	0	0	0	0	0	0	1	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/bool.k	0	13	1	0	0	0	0	0	5	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/builtins.k	38	137	0	0	0	0	23	0	1	1	0	11	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/call.k	3	21	0	0	0	0	1	0	5	0	0	3	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/comprehension.k	3	7	0	0	0	0	0	0	0	0	3	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/concrete.k	5	16	0	0	0	0	1	0	3	0	0	1	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/controls.k	3	34	0	0	0	0	0	0	7	0	0	3	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/core.k	37	46	0	1	0	0	11	0	2	0	0	3	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/dict.k	12	28	0	0	0	0	6	0	2	0	0	2	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/float.k	34	121	0	0	0	0	25	0	4	23	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/functions.k	4	15	0	0	0	0	0	0	1	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/int.k	1	16	0	0	0	0	0	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/iter.k	1	0	0	0	0	0	0	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/list.k	5	27	0	0	0	0	2	0	3	0	0	1	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/methods.k	27	75	0	0	0	0	22	0	3	0	0	4	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/operators.k	0	10	2	0	0	0	0	0	6	0	0	1	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/range.k	2	6	0	0	0	0	1	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/set.k	6	12	0	0	0	0	6	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/sort.k	6	19	0	0	0	0	6	0	2	3	0	1	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/str.k	5	28	0	0	0	0	4	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/subscript.k	15	40	2	0	0	0	10	0	2	0	0	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/syntax.k	16	0	0	0	0	0	0	0	0	0	2	0	
/tmp/audit-work/130-tri-audit/reference-semantics/semantics/tuple.k	4	21	0	0	0	0	0	0	3	0	0	0	
/tmp/audit-work/130-tri-audit/spec-minimal.k	0	0	0	0	2	0	0	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/spec.k	0	0	0	0	2	0	0	0	0	0	0	0	
/tmp/audit-work/130-tri-audit/verification-minimal.k	5	12	0	0	0	0	2	9	0	2	3	0	
/tmp/audit-work/130-tri-audit/verification.k	6	16	0	0	0	0	2	11	0	2	3	0	
