Script started on 2026-07-29 12:11:03-05:00 [<not executed on terminal>]
path	line	kind	attributes	scope	material_to_max_fill	reviewer_disposition	declaration_or_rule
semantics.k	58	module	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	module MPY
semantics.k	59	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-CORE
semantics.k	60	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-ITER
semantics.k	61	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-RANGE
semantics.k	62	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-OPERATORS
semantics.k	63	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-INT
semantics.k	64	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-BOOL
semantics.k	65	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-FLOAT
semantics.k	66	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-STR
semantics.k	67	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-SET
semantics.k	68	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-LIST
semantics.k	69	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-TUPLE
semantics.k	70	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-SUBSCRIPT
semantics.k	71	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-COMPREHENSION
semantics.k	72	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-METHODS
semantics.k	73	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-CONTROLS
semantics.k	74	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-FUNCTIONS
semantics.k	75	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-BUILTINS
semantics.k	76	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-CALL
semantics.k	77	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-SORT
semantics.k	78	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-ASSERT
semantics.k	79	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-DICT
semantics.k	80	endmodule	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	endmodule
semantics.k	87	module	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	module MPY-KRUN
semantics.k	88	imports	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	imports MPY
semantics.k	89	imports	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	imports MPY-CONCRETE
semantics.k	90	endmodule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	endmodule
semantics/assert.k	3	module	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	module MPY-ASSERT
semantics/assert.k	4	imports	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	imports MPY-CORE
semantics/assert.k	6	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
semantics/assert.k	8	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
semantics/assert.k	13	priority-rule	priority	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/assert.k	16	endmodule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	endmodule
semantics/bool.k	5	module	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	module MPY-BOOL
semantics/bool.k	6	imports	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	imports MPY-CORE
semantics/bool.k	8	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule applyUn("not", V:Val) => notBool truthy(V)
semantics/bool.k	10	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
semantics/bool.k	11	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
semantics/bool.k	16	context	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	context BoolOp(_, (HOLE:Expr, _:Exprs))
semantics/bool.k	17	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
semantics/bool.k	18	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
semantics/bool.k	20	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
semantics/bool.k	22	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
semantics/bool.k	24	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
semantics/bool.k	29	priority-rule	priority	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
semantics/bool.k	31	priority-rule	priority	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
semantics/bool.k	35	priority-rule	priority	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
semantics/bool.k	39	priority-rule	priority	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
semantics/bool.k	43	priority-rule	priority	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
semantics/bool.k	47	endmodule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	endmodule
semantics/builtins.k	3	module	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	module MPY-BUILTINS
semantics/builtins.k	4	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-CORE
semantics/builtins.k	5	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-STR
semantics/builtins.k	6	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-SET
semantics/builtins.k	7	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-ITER
semantics/builtins.k	8	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-RANGE
semantics/builtins.k	9	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-INT
semantics/builtins.k	10	imports	-	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	imports MPY-METHODS
semantics/builtins.k	17	function-declaration	function	SUPPLIED_FIXED	YES	ACCEPTED_FIXED_TARGET_PATH	syntax Val ::= applyBuiltin(String, Vals) [function]
semantics/builtins.k	20	function-declaration	function	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	syntax Int ::= seqLen(Val) [function]
semantics/builtins.k	21	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
semantics/builtins.k	22	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
semantics/builtins.k	23	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
semantics/builtins.k	24	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
semantics/builtins.k	25	ordinary-rule	-	SUPPLIED_FIXED	NO	ACCEPTED_INERT_FOR_TARGET	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
