file	line	kind	flags	text
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/assert.k"	3	"module"	""	"module MPY-ASSERT"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/assert.k"	4	"imports"	""	"imports MPY-CORE"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/assert.k"	6	"rule"	""	"rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/assert.k"	8	"rule"	""	"rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/assert.k"	13	"rule"	"priority"	"rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/assert.k"	16	"endmodule"	""	"endmodule"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	5	"module"	""	"module MPY-BOOL"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	6	"imports"	""	"imports MPY-CORE"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	8	"rule"	""	"rule applyUn(\"not\", V:Val) => notBool truthy(V)"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	10	"rule"	""	"rule applyCmp(\"==\", B1:Bool, B2:Bool) => B1 ==Bool B2"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	11	"rule"	""	"rule applyCmp(\"!=\", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	16	"context"	""	"context BoolOp(_, (HOLE:Expr, _:Exprs))"
"/tmp/audit-work/32-find-zero/reference-semantics/semantics/bool.k"	17	"rule"	""	"rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>"
