id	file	line	kind	attributes	source_role	decision	sha256_16	normalized_declaration
K0001	reference-semantics/semantics/assert.k	6	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	0bd746d98b5bb68b	rule <k> Assert(V:Val) => .K ... </k>
K0002	reference-semantics/semantics/assert.k	8	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	2eece4e91ced2ea5	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
K0003	reference-semantics/semantics/assert.k	13	RULE_PRIORITY	priority	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	94ec1f9b321539df	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	reference-semantics/semantics/bool.k	8	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	f6a9f817afd56c91	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	reference-semantics/semantics/bool.k	10	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	27c7ab0738478483	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	reference-semantics/semantics/bool.k	11	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	f0788e13f0abae37	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0007	reference-semantics/semantics/bool.k	16	CONTEXT	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	4bad2e2ff81c39e8	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	reference-semantics/semantics/bool.k	17	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	dd652a87b5666794	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	reference-semantics/semantics/bool.k	18	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	63d13dd54c57bbe3	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
K0010	reference-semantics/semantics/bool.k	20	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	e3bf4d37a86a1b29	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
