inventory_ids	extension	class	domain_and_overlap_judgment	result
K0929	scanPrime declaration	definitional-summary/total Bool function	The equations determine every value by bounded induction toward N, but their fold-oriented rewrite direction does not normalize crucial ground terms such as scanPrime(5,2,true). The value is not an unconstrained oracle in the equational theory; this is an auditability/intent-bridge limitation.	SOUND_WITH_NON_NORMALIZING_EVIDENCE_GAP
K0930	overlapLength declaration	definitional-summary	One unconditional equation covers all four-Int uses.	SOUND
K0931	intersectionClosure declaration	definitional-literal	One unconditional rule covers the nullary value.	SOUND
K0932	intersectionClosure rule	definitional-literal	Reviewer KAST comparison proves exact params/body and defining scope 0; no execution is skipped.	SOUND
K0933	scanPrime false-absorbing equation	definitional-summary	Agrees with every overlap: once prime is false, later scanning remains false.	SOUND
K0934	scanPrime I<2 totalization	definitional-summary	Returns false only off the theorem/loop domain I>=2; it does not overlap a conflicting true rule.	SOUND_ARBITRARY_OFF_DOMAIN_TOTALIZATION
K0935	scanPrime I>=N equation	definitional-summary	No remaining divisors, so the accumulated Boolean P is the result.	SOUND
K0936	scanPrime divisor equation	definitional-summary	For 2<=I<N and pyMod(N,I)=0, remaining scan is false; overlaps with P=false agree.	SOUND
K0937	scanPrime reverse simplification	derived mathematical equality	The equality scan(N,I+1,P)=scan(N,I,P) is true when I is a non-divisor. Critical-pair results agree in the equational theory, although the chosen simplification orientation is not a complete ground evaluator.	SOUND_NON_NORMALIZING_ORIENTATION
K0938	overlapLength equation	definitional-summary	Exactly min(B,D)-max(A,C); unconditional and overlap-free.	SOUND
K0939	maxInt simplification	derived arithmetic lemma	Integer discreteness makes I+1<=N under I<N, so both maxima equal N.	SOUND
K0940	divisor-loop claim	auxiliary reachability/circularity	Exact real loop, arbitrary continuation preserved, full state footprint pinned, and scanPrime fold equations discharge the base/divisor/non-divisor cases.	SOUND
K0941	intersection-prime claim	entry reachability	Exact program and exact YES result under the true scanPrime branch. Equivalence of that branch to primality is a bounded mathematical induction, not a separate machine-checked K claim.	SOUND_WITH_INFORMAL_INTENT_BRIDGE
K0942	intersection-not-prime claim	entry reachability	Exact program and exact NO result under the complementary scanPrime branch. Equivalence of that branch to non-primality is a bounded mathematical induction, not a separate machine-checked K claim.	SOUND_WITH_INFORMAL_INTENT_BRIDGE
