COMMAND: evidence/setup_scratch.sh
d 755 4096  -> 
d 755 4096 reference-semantics -> 
d 755 4096 reference-semantics/semantics -> 
f 644 1103 reference-semantics/semantics/comprehension.k -> 
f 644 1163 reference-semantics/semantics/range.k -> 
f 644 11706 reference-semantics/semantics/core.k -> 
f 644 1206 reference-semantics/semantics/int.k -> 
f 644 16196 reference-semantics/semantics/float.k -> 
f 644 16681 reference-semantics/semantics/builtins.k -> 
f 644 17189 py2mpy.py -> 
f 644 1727 verification.k -> 
f 644 1942 reference-semantics/semantics/set.k -> 
f 644 2123 reference-semantics/semantics/bool.k -> 
f 644 2141 spec-vacuity.k -> 
f 644 2162 reference-semantics/semantics/operators.k -> 
f 644 2288 spec-body-mutation.k -> 
f 644 243 solution.py -> 
f 644 263 spec-value-opposite.k -> 
f 644 2865 reference-semantics/semantics/syntax.k -> 
f 644 2931 spec.k -> 
f 644 3044 reference-semantics/semantics/tuple.k -> 
f 644 3139 reference-semantics/semantics/concrete.k -> 
f 644 330 prompt.py -> 
f 644 3384 reference-semantics/semantics/str.k -> 
f 644 3664 reference-semantics/semantics/list.k -> 
f 644 395 concrete-smoke.py -> 
f 644 399 solution.mpy -> 
f 644 4159 reference-semantics/semantics.k -> 
f 644 435 reference-semantics/semantics/iter.k -> 
f 644 441 reference-semantics/semantics/assert.k -> 
f 644 4441 reference-semantics/semantics/sort.k -> 
f 644 4786 reference-semantics/semantics/functions.k -> 
f 644 511 spec-value-check.k -> 
f 644 5351 reference-semantics/semantics/call.k -> 
f 644 5576 reference-semantics/semantics/controls.k -> 
f 644 610 canonical.py -> 
f 644 6133 reference-semantics/semantics/subscript.k -> 
f 644 6415 reference-semantics/semantics/dict.k -> 
f 644 746 concrete-smoke.mpy -> 
f 644 9159 reference-semantics/semantics/methods.k -> 
f 755 1377 prove.sh -> 

EXIT_STATUS: 0
