id	file	start	end	kind	attributes	scope	assessment	normalized
semantics/assert.k:6:rule:0bd746d98b5bb68b	semantics/assert.k	6	6	rule		fixed-unused-by-solution	FIXED_UNUSED_RULE_NO_HEAD_INTERFERENCE_WITH_SOLUTION	rule <k> Assert(V:Val) => .K ... </k>
semantics/assert.k:8:rule:2eece4e91ced2ea5	semantics/assert.k	8	10	rule		fixed-unused-by-solution	FIXED_UNUSED_RULE_NO_HEAD_INTERFERENCE_WITH_SOLUTION	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
semantics/assert.k:13:rule:94ec1f9b321539df	semantics/assert.k	13	15	rule	priority(40)	fixed-unused-by-solution;priority	FIXED_UNUSED_RULE_NO_HEAD_INTERFERENCE_WITH_SOLUTION	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/bool.k:8:rule:f6a9f817afd56c91	semantics/bool.k	8	9	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyUn("not", V:Val) => notBool truthy(V)
semantics/bool.k:10:rule:27c7ab0738478483	semantics/bool.k	10	10	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
semantics/bool.k:11:rule:f0788e13f0abae37	semantics/bool.k	11	15	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
semantics/bool.k:16:context:4bad2e2ff81c39e8	semantics/bool.k	16	16	context		fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	context BoolOp(_, (HOLE:Expr, _:Exprs))
semantics/bool.k:17:rule:dd652a87b5666794	semantics/bool.k	17	17	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
semantics/bool.k:18:rule:63d13dd54c57bbe3	semantics/bool.k	18	18	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
semantics/bool.k:20:rule:e3bf4d37a86a1b29	semantics/bool.k	20	20	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
semantics/bool.k:22:rule:311691d7b7318ca2	semantics/bool.k	22	22	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
semantics/bool.k:24:rule:bb2396d220b4db44	semantics/bool.k	24	24	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
semantics/bool.k:29:rule:570c438ed2f88db9	semantics/bool.k	29	30	rule	priority(40)	fixed-material-slice;priority	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
semantics/bool.k:31:rule:33e477bc7d8ac19c	semantics/bool.k	31	32	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
semantics/bool.k:35:rule:a549233f103c3e1a	semantics/bool.k	35	36	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
semantics/bool.k:39:rule:500f38f92ca6b49c	semantics/bool.k	39	40	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
semantics/bool.k:43:rule:74ffb5ebfd0fc317	semantics/bool.k	43	44	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
semantics/builtins.k:17:syntax:8eb9b94daf324cbc	semantics/builtins.k	17	19	syntax	function	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax Val ::= applyBuiltin(String, Vals) [function]
semantics/builtins.k:20:syntax:f6cf3d1713c13dac	semantics/builtins.k	20	20	syntax	function	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax Int ::= seqLen(Val) [function]
semantics/builtins.k:21:rule:4c33466e09a76b77	semantics/builtins.k	21	21	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
semantics/builtins.k:22:rule:4304dc6e05317c68	semantics/builtins.k	22	22	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
semantics/builtins.k:23:rule:60d5ac1453fb0c1b	semantics/builtins.k	23	23	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
semantics/builtins.k:24:rule:daf5d65cb8f22bd9	semantics/builtins.k	24	24	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
semantics/builtins.k:25:rule:423d538bf2659955	semantics/builtins.k	25	25	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
semantics/builtins.k:26:rule:b762a4c2dc2a978a	semantics/builtins.k	26	31	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
semantics/builtins.k:32:rule:ca8be208f8fa6148	semantics/builtins.k	32	32	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k:33:rule:d4c8072f0224b436	semantics/builtins.k	33	33	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k:34:rule:3dd9d5c101b8e31c	semantics/builtins.k	34	34	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
