id	source_class	file	start_line	end_line	kind	attributes	reachability_scope	review_disposition	text
1	trusted-supplied-semantics	/reference/reference-semantics/semantics/assert.k	6	6	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> Assert(V:Val) => .K ... </k>
2	trusted-supplied-semantics	/reference/reference-semantics/semantics/assert.k	8	10	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
3	trusted-supplied-semantics	/reference/reference-semantics/semantics/assert.k	13	15	rule-priority	priority(40)	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	8	8	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	10	10	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	11	11	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	16	16	context		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	17	17	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	18	18	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
10	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	20	20	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
11	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	22	22	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
12	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	24	24	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
13	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	29	30	rule-priority	priority(40)	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	31	32	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"
15	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	35	36	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"
16	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	39	40	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"
17	trusted-supplied-semantics	/reference/reference-semantics/semantics/bool.k	43	44	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"
18	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	17	17	syntax-function	function	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax Val ::= applyBuiltin(String, Vals) [function]
19	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	20	20	syntax-function	function	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax Int ::= seqLen(Val) [function]
20	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	21	21	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
