$ bash -c sha256sum\ /audit-output/evidence/stage5/rule-inventory.tsv\ /audit-output/evidence/stage5/used-construct-map.md\;\ sed\ -n\ \"1\,24p\"\ /audit-output/evidence/stage5/rule-inventory.tsv\;\ echo\ ATTRIBUTE_ROWS\;\ awk\ -F\ \"\\t\"\ \"NR\ ==\ 1\ \|\|\ \\\$6\ \!=\ \\\"-\\\"\"\ /audit-output/evidence/stage5/rule-inventory.tsv\ \|\ tail\ -n\ 40
7831acecf67a4dfc13ffe2bd0846ba065cd6e82ae24122ab19c2f9eba7cf8c5e  /audit-output/evidence/stage5/rule-inventory.tsv
0f195bc388129793bb9f1cd1a61c7a0d70d42d5d872579076dc311c3ea5a9a5a  /audit-output/evidence/stage5/used-construct-map.md
id	file	start_line	end_line	kind	attributes	reachable_path	disposition	first_line_json
K0001	/reference/reference-semantics/semantics.k	34	34	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/syntax.k\"""""
K0002	/reference/reference-semantics/semantics.k	35	35	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/core.k\"""""
K0003	/reference/reference-semantics/semantics.k	36	36	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/iter.k\"""""
K0004	/reference/reference-semantics/semantics.k	37	37	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/range.k\"""""
K0005	/reference/reference-semantics/semantics.k	38	38	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/operators.k\"""""
K0006	/reference/reference-semantics/semantics.k	39	39	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/int.k\"""""
K0007	/reference/reference-semantics/semantics.k	40	40	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/bool.k\"""""
K0008	/reference/reference-semantics/semantics.k	41	41	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/float.k\"""""
K0009	/reference/reference-semantics/semantics.k	42	42	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/str.k\"""""
K0010	/reference/reference-semantics/semantics.k	43	43	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/set.k\"""""
K0011	/reference/reference-semantics/semantics.k	44	44	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/list.k\"""""
K0012	/reference/reference-semantics/semantics.k	45	45	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/tuple.k\"""""
K0013	/reference/reference-semantics/semantics.k	46	46	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/subscript.k\"""""
K0014	/reference/reference-semantics/semantics.k	47	47	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/comprehension.k\"""""
K0015	/reference/reference-semantics/semantics.k	48	48	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/methods.k\"""""
K0016	/reference/reference-semantics/semantics.k	49	49	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/controls.k\"""""
K0017	/reference/reference-semantics/semantics.k	50	50	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/functions.k\"""""
K0018	/reference/reference-semantics/semantics.k	51	51	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/builtins.k\"""""
K0019	/reference/reference-semantics/semantics.k	52	52	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/call.k\"""""
K0020	/reference/reference-semantics/semantics.k	53	53	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/sort.k\"""""
K0021	/reference/reference-semantics/semantics.k	54	54	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/assert.k\"""""
K0022	/reference/reference-semantics/semantics.k	55	55	requires	-	yes	FIXED_SUPPLIED_SEMANTICS_USED_AND_REVIEWED_SOUND_ON_MATCH_DOMAIN	"""requires \""semantics/dict.k\"""""
K0023	/reference/reference-semantics/semantics.k	56	56	requires	concrete	yes	CONCRETE_ONLY_RULE_INERT_FOR_SYMBOLIC_PROOF	"""requires \""semantics/concrete.k\"""""
