label,lower,upper_exclusive,witness,target,canonical,generated,satisfies_precondition
range-1-1,1,2,1,"(0, 1)","(0, 1)","(0, 1)",True
range-2-2,2,3,2,"(1, 1)","(1, 1)","(1, 1)",True
range-3-3,3,4,3,"(1, 2)","(1, 2)","(1, 2)",True
range-4-4,4,5,4,"(2, 2)","(2, 2)","(2, 2)",True
range-5-5,5,6,5,"(2, 3)","(2, 3)","(2, 3)",True
range-6-6,6,7,6,"(3, 3)","(3, 3)","(3, 3)",True
range-7-7,7,8,7,"(3, 4)","(3, 4)","(3, 4)",True
range-8-8,8,9,8,"(4, 4)","(4, 4)","(4, 4)",True
range-9-10,9,11,9,"(4, 5)","(4, 5)","(4, 5)",True
range-11-21,11,22,11,"(4, 6)","(4, 6)","(4, 6)",True
range-22-32,22,33,22,"(5, 6)","(5, 6)","(5, 6)",True
range-33-43,33,44,33,"(5, 7)","(5, 7)","(5, 7)",True
range-44-54,44,55,44,"(6, 7)","(6, 7)","(6, 7)",True
range-55-65,55,66,55,"(6, 8)","(6, 8)","(6, 8)",True
range-66-76,66,77,66,"(7, 8)","(7, 8)","(7, 8)",True
range-77-87,77,88,77,"(7, 9)","(7, 9)","(7, 9)",True
range-88-98,88,99,88,"(8, 9)","(8, 9)","(8, 9)",True
range-99-100,99,101,99,"(8, 10)","(8, 10)","(8, 10)",True
range-101-110,101,111,101,"(8, 11)","(8, 11)","(8, 11)",True
range-111-120,111,121,111,"(8, 12)","(8, 12)","(8, 12)",True
range-121-130,121,131,121,"(8, 13)","(8, 13)","(8, 13)",True
range-131-140,131,141,131,"(8, 14)","(8, 14)","(8, 14)",True
range-141-150,141,151,141,"(8, 15)","(8, 15)","(8, 15)",True
range-151-160,151,161,151,"(8, 16)","(8, 16)","(8, 16)",True
range-161-170,161,171,161,"(8, 17)","(8, 17)","(8, 17)",True
range-171-180,171,181,171,"(8, 18)","(8, 18)","(8, 18)",True
range-181-190,181,191,181,"(8, 19)","(8, 19)","(8, 19)",True
range-191-201,191,202,191,"(8, 20)","(8, 20)","(8, 20)",True
range-202-211,202,212,202,"(9, 20)","(9, 20)","(9, 20)",True
range-212-221,212,222,212,"(10, 20)","(10, 20)","(10, 20)",True
range-222-231,222,232,222,"(11, 20)","(11, 20)","(11, 20)",True
range-232-241,232,242,232,"(12, 20)","(12, 20)","(12, 20)",True
range-242-251,242,252,242,"(13, 20)","(13, 20)","(13, 20)",True
range-252-261,252,262,252,"(14, 20)","(14, 20)","(14, 20)",True
range-262-271,262,272,262,"(15, 20)","(15, 20)","(15, 20)",True
range-272-281,272,282,272,"(16, 20)","(16, 20)","(16, 20)",True
range-282-291,282,292,282,"(17, 20)","(17, 20)","(17, 20)",True
range-292-302,292,303,292,"(18, 20)","(18, 20)","(18, 20)",True
range-303-312,303,313,303,"(18, 21)","(18, 21)","(18, 21)",True
range-313-322,313,323,313,"(18, 22)","(18, 22)","(18, 22)",True
range-323-332,323,333,323,"(18, 23)","(18, 23)","(18, 23)",True
range-333-342,333,343,333,"(18, 24)","(18, 24)","(18, 24)",True
range-343-352,343,353,343,"(18, 25)","(18, 25)","(18, 25)",True
range-353-362,353,363,353,"(18, 26)","(18, 26)","(18, 26)",True
range-363-372,363,373,363,"(18, 27)","(18, 27)","(18, 27)",True
range-373-382,373,383,373,"(18, 28)","(18, 28)","(18, 28)",True
range-383-392,383,393,383,"(18, 29)","(18, 29)","(18, 29)",True
range-393-403,393,404,393,"(18, 30)","(18, 30)","(18, 30)",True
range-404-413,404,414,404,"(19, 30)","(19, 30)","(19, 30)",True
range-414-423,414,424,414,"(20, 30)","(20, 30)","(20, 30)",True
range-424-433,424,434,424,"(21, 30)","(21, 30)","(21, 30)",True
range-434-443,434,444,434,"(22, 30)","(22, 30)","(22, 30)",True
range-444-453,444,454,444,"(23, 30)","(23, 30)","(23, 30)",True
range-454-463,454,464,454,"(24, 30)","(24, 30)","(24, 30)",True
range-464-473,464,474,464,"(25, 30)","(25, 30)","(25, 30)",True
range-474-483,474,484,474,"(26, 30)","(26, 30)","(26, 30)",True
range-484-493,484,494,484,"(27, 30)","(27, 30)","(27, 30)",True
range-494-504,494,505,494,"(28, 30)","(28, 30)","(28, 30)",True
range-505-514,505,515,505,"(28, 31)","(28, 31)","(28, 31)",True
range-515-524,515,525,515,"(28, 32)","(28, 32)","(28, 32)",True
range-525-534,525,535,525,"(28, 33)","(28, 33)","(28, 33)",True
range-535-544,535,545,535,"(28, 34)","(28, 34)","(28, 34)",True
