record_id	file	line	kind	subtype	attributes	statement
K0001	/reference/reference-semantics/semantics.k	34	requires	requires	-	requires "semantics/syntax.k"
K0002	/reference/reference-semantics/semantics.k	35	requires	requires	-	requires "semantics/core.k"
K0003	/reference/reference-semantics/semantics.k	36	requires	requires	-	requires "semantics/iter.k"
K0004	/reference/reference-semantics/semantics.k	37	requires	requires	-	requires "semantics/range.k"
K0005	/reference/reference-semantics/semantics.k	38	requires	requires	-	requires "semantics/operators.k"
K0006	/reference/reference-semantics/semantics.k	39	requires	requires	-	requires "semantics/int.k"
K0007	/reference/reference-semantics/semantics.k	40	requires	requires	-	requires "semantics/bool.k"
K0008	/reference/reference-semantics/semantics.k	41	requires	requires	-	requires "semantics/float.k"
K0009	/reference/reference-semantics/semantics.k	42	requires	requires	-	requires "semantics/str.k"
K0010	/reference/reference-semantics/semantics.k	43	requires	requires	-	requires "semantics/set.k"
K0011	/reference/reference-semantics/semantics.k	44	requires	requires	-	requires "semantics/list.k"
K0012	/reference/reference-semantics/semantics.k	45	requires	requires	-	requires "semantics/tuple.k"
K0013	/reference/reference-semantics/semantics.k	46	requires	requires	-	requires "semantics/subscript.k"
K0014	/reference/reference-semantics/semantics.k	47	requires	requires	-	requires "semantics/comprehension.k"
K0015	/reference/reference-semantics/semantics.k	48	requires	requires	-	requires "semantics/methods.k"
K0016	/reference/reference-semantics/semantics.k	49	requires	requires	-	requires "semantics/controls.k"
K0017	/reference/reference-semantics/semantics.k	50	requires	requires	-	requires "semantics/functions.k"
K0018	/reference/reference-semantics/semantics.k	51	requires	requires	-	requires "semantics/builtins.k"
K0019	/reference/reference-semantics/semantics.k	52	requires	requires	-	requires "semantics/call.k"
K0020	/reference/reference-semantics/semantics.k	53	requires	requires	-	requires "semantics/sort.k"
K0021	/reference/reference-semantics/semantics.k	54	requires	requires	-	requires "semantics/assert.k"
K0022	/reference/reference-semantics/semantics.k	55	requires	requires	-	requires "semantics/dict.k"
K0023	/reference/reference-semantics/semantics.k	56	requires	requires	concrete	requires "semantics/concrete.k"
K0024	/reference/reference-semantics/semantics.k	58	module	module	-	module MPY
K0025	/reference/reference-semantics/semantics.k	59	imports	imports	-	imports MPY-CORE
K0026	/reference/reference-semantics/semantics.k	60	imports	imports	-	imports MPY-ITER
