COMMAND: python3 /audit-output/evidence/inventory_k.py
0001	reference-semantics/semantics/assert.k:3	MPY-ASSERT	module	flags=-	module MPY-ASSERT
0002	reference-semantics/semantics/assert.k:4	MPY-ASSERT	imports	flags=-	imports MPY-CORE
0003	reference-semantics/semantics/assert.k:6	MPY-ASSERT	rule	flags=-	rule <k> Assert(V:Val) => .K ... </k>
0004	reference-semantics/semantics/assert.k:7	MPY-ASSERT	requires	flags=-	requires truthy(V)
0005	reference-semantics/semantics/assert.k:8	MPY-ASSERT	rule	flags=-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
0006	reference-semantics/semantics/assert.k:11	MPY-ASSERT	requires	flags=-	requires notBool truthy(V)
0007	reference-semantics/semantics/assert.k:13	MPY-ASSERT	rule	flags=priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
0008	reference-semantics/semantics/assert.k:16	MPY-ASSERT	endmodule	flags=-	endmodule
0009	reference-semantics/semantics/bool.k:5	MPY-BOOL	module	flags=-	module MPY-BOOL
0010	reference-semantics/semantics/bool.k:6	MPY-BOOL	imports	flags=-	imports MPY-CORE
0011	reference-semantics/semantics/bool.k:8	MPY-BOOL	rule	flags=-	rule applyUn("not", V:Val) => notBool truthy(V)
0012	reference-semantics/semantics/bool.k:10	MPY-BOOL	rule	flags=-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
0013	reference-semantics/semantics/bool.k:11	MPY-BOOL	rule	flags=-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
0014	reference-semantics/semantics/bool.k:16	MPY-BOOL	context	flags=-	context BoolOp(_, (HOLE:Expr, _:Exprs))
0015	reference-semantics/semantics/bool.k:17	MPY-BOOL	rule	flags=-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
0016	reference-semantics/semantics/bool.k:18	MPY-BOOL	rule	flags=-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
0017	reference-semantics/semantics/bool.k:19	MPY-BOOL	requires	flags=-	requires truthy(V)
0018	reference-semantics/semantics/bool.k:20	MPY-BOOL	rule	flags=-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
0019	reference-semantics/semantics/bool.k:21	MPY-BOOL	requires	flags=-	requires notBool truthy(V)
0020	reference-semantics/semantics/bool.k:22	MPY-BOOL	rule	flags=-	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
0021	reference-semantics/semantics/bool.k:23	MPY-BOOL	requires	flags=-	requires truthy(V)
0022	reference-semantics/semantics/bool.k:24	MPY-BOOL	rule	flags=-	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
0023	reference-semantics/semantics/bool.k:25	MPY-BOOL	requires	flags=-	requires notBool truthy(V)
0024	reference-semantics/semantics/bool.k:29	MPY-BOOL	rule	flags=priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
