00-audit-mode-and-binding.txt	476 bytes
01-reconstructed-inventory.json	4371 bytes
02-inventory-manifest-comparison.json	4604 bytes
03-frozen-stage1-core.txt	6593 bytes
04-relevant-operational-semantics.txt	85026 bytes
05-list-semantics.txt	4140 bytes
06-loop-semantics.txt	6339 bytes
07-function-semantics.txt	5423 bytes
08-k-tool-versions.txt	245 bytes
09-generation-producer-raw.txt	852 bytes
10-generation-producer-attestation.json	1748 bytes
11-producer-hash-algorithm-search.txt	4329 bytes
12-generation-producer-final-attestation.json	1236 bytes
14-independent-stage4-preflight.json	314 bytes
15-lean-toolchain-diagnostics.txt	1807 bytes
16-elan-diagnostics.txt	737 bytes
17-reference-file-index.txt	2095 bytes
18-candidate-file-index.txt	173 bytes
19-stage4-stage5-core-artifacts.txt	26002 bytes
20-generated-lean-sources.txt	42235 bytes
21-sort-valseq.txt	506 bytes
22-lean-token-and-symbol-scan.txt	9271 bytes
24-mechanical-lock-search.txt	126 bytes
25-recorded-hash-verification.json	3140 bytes
26-obligation-target-bijection.json	4154 bytes
27-right-identity-removed-kompile.log	1578 bytes
28-right-identity-removed-kprove.log	2889 bytes
29-associativity-removed-kompile.log	1574 bytes
30-associativity-removed-kprove.log	3107 bytes
31-original-kompile.log	1458 bytes
32-original-prefix-kprove.log	1699 bytes
33-original-loop-kprove.log	1463 bytes
34-fresh-stage5-path.txt	35 bytes
35-fresh-stage5-prebuild-hashes.json	436 bytes
36-fresh-stage5-path-final.txt	37 bytes
37-fresh-stage5-final-prebuild-hashes.json	276 bytes
38-stage5-lake-clean.log	67 bytes
39-stage5-lake-build.log	67 bytes
40-stage5-build-exit-codes.txt	46 bytes
41-stage5-lake-clean-with-explicit-install.log	0 bytes
42-stage5-lake-build-with-explicit-install.log	799 bytes
43-stage5-explicit-install-exit-codes.txt	80 bytes
44-independent-stage4-preflight-success.json	2334 bytes
45-stage5-lake-clean-final.log	0 bytes
46-stage5-lake-build-final.log	213 bytes
47-stage5-build-final-exit-codes.txt	46 bytes
48-print-axioms-proof-final.log	44 bytes
49-print-proof-final-and-target.log	475 bytes
50-axiom-reconciliation.json	426 bytes
51-candidate-integrity-scan.json	962 bytes
52-postbuild-target-identity.json	2611 bytes
53-operational-bridge-counterfactual-lean.log	0 bytes
54-operational-bridge-counterfactual-expanded-lean.log	1496 bytes
55-operational-bridge-counterfactual-expanded-success.log	0 bytes
56-audit-helper-hashes.txt	437 bytes
57-operational-bridge-and-nonvacuity-success.log	0 bytes
58-counterfactual-final-hash.txt	114 bytes
59-trusted-final-mechanical-gate.json	5789 bytes
60-frozen-solution-mpy.txt	453 bytes
61-retranslated-solution-mpy.txt	376 bytes
62-translation-match.txt	44 bytes
AxiomAudit.lean	40 bytes
COMMANDS.md	5210 bytes
CounterfactualAudit.lean	4118 bytes
TheoremAudit.lean	100 bytes
lean_proc_self_shim.c	663 bytes
