cwd: /tmp/audit-work
command: /audit-output/evidence/k_rule_inventory.py /tmp/audit-work/reference-semantics /tmp/audit-work/verification.k /tmp/audit-work/spec.k
captured_lines: 950
captured_bytes: 155144
--- output ---
file	line	kind	attributes	declaration
/tmp/audit-work/reference-semantics/semantics/assert.k	6	rule	-	rule <k> Assert(V:Val) => .K ... </k>
/tmp/audit-work/reference-semantics/semantics/assert.k	8	rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
/tmp/audit-work/reference-semantics/semantics/assert.k	13	rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/tmp/audit-work/reference-semantics/semantics/bool.k	8	rule	-	rule applyUn("not", V:Val) => notBool truthy(V)
/tmp/audit-work/reference-semantics/semantics/bool.k	10	rule	-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
/tmp/audit-work/reference-semantics/semantics/bool.k	11	rule	-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
/tmp/audit-work/reference-semantics/semantics/bool.k	16	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
/tmp/audit-work/reference-semantics/semantics/bool.k	17	rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	18	rule	-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	20	rule	-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	22	rule	-	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	24	rule	-	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	29	rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/tmp/audit-work/reference-semantics/semantics/bool.k	31	rule	-	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/bool.k	35	rule	-	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/bool.k	39	rule	-	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/bool.k	43	rule	-	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/builtins.k	17	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	20	syntax	function	syntax Int ::= seqLen(Val) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	21	rule	-	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
/tmp/audit-work/reference-semantics/semantics/builtins.k	22	rule	-	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	23	rule	-	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	24	rule	-	rule seqLen(str(IS:IntSeq)) => isLen(IS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	25	rule	-	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	26	rule	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
/tmp/audit-work/reference-semantics/semantics/builtins.k	32	rule	-	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	33	rule	-	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	34	rule	-	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	35	rule	-	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	36	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	37	rule	-	rule charsOf(.IntSeq) => .ValSeq
/tmp/audit-work/reference-semantics/semantics/builtins.k	38	rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	41	rule	-	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	44	rule	-	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
/tmp/audit-work/reference-semantics/semantics/builtins.k	47	syntax	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/tmp/audit-work/reference-semantics/semantics/builtins.k	48	rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	49	rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	50	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	54	syntax	function	syntax Int ::= intOf(Val) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	55	rule	-	rule intOf(I:Int) => I
/tmp/audit-work/reference-semantics/semantics/builtins.k	56	rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
/tmp/audit-work/reference-semantics/semantics/builtins.k	59	syntax	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"
/tmp/audit-work/reference-semantics/semantics/builtins.k	60	rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	61	rule	-	rule <k> #iterDone ~> #allCont => true ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	62	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	64	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	67	syntax	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
/tmp/audit-work/reference-semantics/semantics/builtins.k	68	rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	69	rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	70	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	72	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	76	syntax	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
/tmp/audit-work/reference-semantics/semantics/builtins.k	77	rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	78	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	80	rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	81	rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	82	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	86	syntax	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
/tmp/audit-work/reference-semantics/semantics/builtins.k	87	rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	88	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	90	rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	91	rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	92	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	97	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	98	rule	-	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
/tmp/audit-work/reference-semantics/semantics/builtins.k	99	rule	-	rule maxVals(M:Int, .Vals) => M
/tmp/audit-work/reference-semantics/semantics/builtins.k	100	rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
/tmp/audit-work/reference-semantics/semantics/builtins.k	102	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	103	rule	-	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
/tmp/audit-work/reference-semantics/semantics/builtins.k	104	rule	-	rule minVals(M:Int, .Vals) => M
/tmp/audit-work/reference-semantics/semantics/builtins.k	105	rule	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
/tmp/audit-work/reference-semantics/semantics/builtins.k	108	rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
/tmp/audit-work/reference-semantics/semantics/builtins.k	111	rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
/tmp/audit-work/reference-semantics/semantics/builtins.k	114	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	115	rule	-	rule binCodes(0) => iCons(48, .IntSeq)
/tmp/audit-work/reference-semantics/semantics/builtins.k	116	rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
/tmp/audit-work/reference-semantics/semantics/builtins.k	117	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	118	rule	-	rule binAcc(0, ACC:IntSeq) => ACC
/tmp/audit-work/reference-semantics/semantics/builtins.k	119	rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
/tmp/audit-work/reference-semantics/semantics/builtins.k	124	rule	-	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	126	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	127	rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq
/tmp/audit-work/reference-semantics/semantics/builtins.k	128	rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
/tmp/audit-work/reference-semantics/semantics/builtins.k	132	rule	-	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	134	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	135	rule	-	rule mapStrVS(.ValSeq) => .ValSeq
/tmp/audit-work/reference-semantics/semantics/builtins.k	136	rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
/tmp/audit-work/reference-semantics/semantics/builtins.k	137	rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
/tmp/audit-work/reference-semantics/semantics/builtins.k	140	rule	-	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	143	rule	-	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
/tmp/audit-work/reference-semantics/semantics/builtins.k	144	rule	-	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
/tmp/audit-work/reference-semantics/semantics/builtins.k	148	rule	-	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
/tmp/audit-work/reference-semantics/semantics/builtins.k	149	rule	-	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
/tmp/audit-work/reference-semantics/semantics/builtins.k	152	rule	-	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
/tmp/audit-work/reference-semantics/semantics/builtins.k	156	rule	-	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
/tmp/audit-work/reference-semantics/semantics/builtins.k	158	syntax	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	159	rule	-	rule intDigAcc(.IntSeq, ACC:Int) => ACC
/tmp/audit-work/reference-semantics/semantics/builtins.k	160	rule	-	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
/tmp/audit-work/reference-semantics/semantics/builtins.k	163	rule	-	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
/tmp/audit-work/reference-semantics/semantics/builtins.k	164	rule	-	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
/tmp/audit-work/reference-semantics/semantics/builtins.k	167	rule	-	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	169	rule	-	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	170	rule	-	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	171	rule	-	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	173	rule	-	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	174	rule	-	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
/tmp/audit-work/reference-semantics/semantics/builtins.k	177	rule	-	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
/tmp/audit-work/reference-semantics/semantics/builtins.k	178	rule	-	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
/tmp/audit-work/reference-semantics/semantics/builtins.k	179	rule	-	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
/tmp/audit-work/reference-semantics/semantics/builtins.k	187	rule	-	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	188	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	189	rule	-	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
/tmp/audit-work/reference-semantics/semantics/builtins.k	192	syntax	-	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
/tmp/audit-work/reference-semantics/semantics/builtins.k	194	syntax	function,total	syntax Bool ::= evDigit(Int) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	195	rule	-	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
/tmp/audit-work/reference-semantics/semantics/builtins.k	196	syntax	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	197	rule	-	rule evHead42(iCons(42, _:IntSeq)) => true
/tmp/audit-work/reference-semantics/semantics/builtins.k	198	rule	owise	rule evHead42(_:IntSeq) => false [owise]
