id	file	line	kind	flags	decision	reason
197	reference-semantics/semantics/builtins.k	285	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
456	reference-semantics/semantics/float.k	24	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
459	reference-semantics/semantics/float.k	30	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
462	reference-semantics/semantics/float.k	37	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
467	reference-semantics/semantics/float.k	50	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
470	reference-semantics/semantics/float.k	54	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
496	reference-semantics/semantics/float.k	103	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
499	reference-semantics/semantics/float.k	107	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
502	reference-semantics/semantics/float.k	111	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
505	reference-semantics/semantics/float.k	115	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
508	reference-semantics/semantics/float.k	119	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
511	reference-semantics/semantics/float.k	125	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
524	reference-semantics/semantics/float.k	142	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
536	reference-semantics/semantics/float.k	160	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
561	reference-semantics/semantics/float.k	190	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
564	reference-semantics/semantics/float.k	195	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
576	reference-semantics/semantics/float.k	209	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
581	reference-semantics/semantics/float.k	217	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
583	reference-semantics/semantics/float.k	223	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
587	reference-semantics/semantics/float.k	230	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	Explicit supplied-semantics opaque symbol; unreachable from the submitted integer/list/sorted fragment.
844	reference-semantics/semantics/sort.k	18	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_RESULT_BOUNDARY_USED	sortVS is opaque in Haskell and concrete in LLVM; entry results are conditional on it meaning ascending sort.
858	reference-semantics/semantics/sort.k	49	syntax	function,total,opaque-no-evaluators,symbol	TRUSTED_OPAQUE_UNUSED	sortKeyVS is an explicit supplied-semantics opaque primitive, unreachable from this program.
