id	file	line	kind	flags	decision	reason
1	reference-semantics/semantics/assert.k	3	module		SUPPLIED_ASSEMBLY	Byte-identical fixed supplied-semantics module/import/require structure.
2	reference-semantics/semantics/assert.k	4	imports		SUPPLIED_ASSEMBLY	Byte-identical fixed supplied-semantics module/import/require structure.
3	reference-semantics/semantics/assert.k	6	rule	operational	SUPPLIED_RULE_NOT_REACHED	Byte-identical fixed supplied-semantics rule outside the submitted program/proof slice; it contributes to no claimed conclusion and no false-rule witness was identified.
4	reference-semantics/semantics/assert.k	8	rule	operational	SUPPLIED_RULE_NOT_REACHED	Byte-identical fixed supplied-semantics rule outside the submitted program/proof slice; it contributes to no claimed conclusion and no false-rule witness was identified.
5	reference-semantics/semantics/assert.k	13	rule	priority,operational	SUPPLIED_RULE_NOT_REACHED	Byte-identical fixed supplied-semantics rule outside the submitted program/proof slice; it contributes to no claimed conclusion and no false-rule witness was identified.
6	reference-semantics/semantics/bool.k	5	module		SUPPLIED_ASSEMBLY	Byte-identical fixed supplied-semantics module/import/require structure.
7	reference-semantics/semantics/bool.k	6	imports		SUPPLIED_ASSEMBLY	Byte-identical fixed supplied-semantics module/import/require structure.
8	reference-semantics/semantics/bool.k	8	rule	equational	SUPPLIED_RULE_NOT_REACHED	Byte-identical fixed supplied-semantics rule outside the submitted program/proof slice; it contributes to no claimed conclusion and no false-rule witness was identified.
9	reference-semantics/semantics/bool.k	10	rule	equational	SUPPLIED_RULE_NOT_REACHED	Byte-identical fixed supplied-semantics rule outside the submitted program/proof slice; it contributes to no claimed conclusion and no false-rule witness was identified.
10	reference-semantics/semantics/bool.k	11	rule	equational	SUPPLIED_RULE_NOT_REACHED	Byte-identical fixed supplied-semantics rule outside the submitted program/proof slice; it contributes to no claimed conclusion and no false-rule witness was identified.
11	reference-semantics/semantics/bool.k	16	context		SUPPLIED_DECLARATION_REVIEWED	Byte-identical fixed supplied-semantics declaration; used constructs are mapped separately and no proof-local behavior is introduced.
