record_id,file,start_line,end_line,kind,tags,disposition,justification
1,reference-semantics/semantics.k,34,34,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
2,reference-semantics/semantics.k,35,35,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
3,reference-semantics/semantics.k,36,36,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
4,reference-semantics/semantics.k,37,37,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
5,reference-semantics/semantics.k,38,38,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
6,reference-semantics/semantics.k,39,39,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
7,reference-semantics/semantics.k,40,40,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
8,reference-semantics/semantics.k,41,41,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
9,reference-semantics/semantics.k,42,42,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
10,reference-semantics/semantics.k,43,43,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
11,reference-semantics/semantics.k,44,44,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
12,reference-semantics/semantics.k,45,45,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
13,reference-semantics/semantics.k,46,46,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
14,reference-semantics/semantics.k,47,47,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
15,reference-semantics/semantics.k,48,48,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
16,reference-semantics/semantics.k,49,49,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
17,reference-semantics/semantics.k,50,50,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
18,reference-semantics/semantics.k,51,51,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
19,reference-semantics/semantics.k,52,52,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
20,reference-semantics/semantics.k,53,53,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
21,reference-semantics/semantics.k,54,54,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
22,reference-semantics/semantics.k,55,55,requires-file,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
23,reference-semantics/semantics.k,56,56,requires-file,concrete,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
24,reference-semantics/semantics.k,58,58,module,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
25,reference-semantics/semantics.k,59,59,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
26,reference-semantics/semantics.k,60,60,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
27,reference-semantics/semantics.k,61,61,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
28,reference-semantics/semantics.k,62,62,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
29,reference-semantics/semantics.k,63,63,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
30,reference-semantics/semantics.k,64,64,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
31,reference-semantics/semantics.k,65,65,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
32,reference-semantics/semantics.k,66,66,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
33,reference-semantics/semantics.k,67,67,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
34,reference-semantics/semantics.k,68,68,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
35,reference-semantics/semantics.k,69,69,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
36,reference-semantics/semantics.k,70,70,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
37,reference-semantics/semantics.k,71,71,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
38,reference-semantics/semantics.k,72,72,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
39,reference-semantics/semantics.k,73,73,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
40,reference-semantics/semantics.k,74,74,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
41,reference-semantics/semantics.k,75,75,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
42,reference-semantics/semantics.k,76,76,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
43,reference-semantics/semantics.k,77,77,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
