id	source	start_line	end_line	kind	classification	attributes	decision	decision_basis	normalized_source
K0001	semantics.k	34	34	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/syntax.k"""
K0002	semantics.k	35	35	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/core.k"""
K0003	semantics.k	36	36	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/iter.k"""
K0004	semantics.k	37	37	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/range.k"""
K0005	semantics.k	38	38	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/operators.k"""
K0006	semantics.k	39	39	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/int.k"""
K0007	semantics.k	40	40	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/bool.k"""
K0008	semantics.k	41	41	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/float.k"""
K0009	semantics.k	42	42	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/str.k"""
K0010	semantics.k	43	43	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/set.k"""
K0011	semantics.k	44	44	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/list.k"""
K0012	semantics.k	45	45	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/tuple.k"""
K0013	semantics.k	46	46	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/subscript.k"""
K0014	semantics.k	47	47	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/comprehension.k"""
