id	file	line	kind	origin	flags	statement	audit_disposition	reason
1	reference-semantics/semantics/assert.k	3	module	SUPPLIED_FIXED_SEMANTICS	-	module MPY-ASSERT	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
2	reference-semantics/semantics/assert.k	4	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-CORE	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
3	reference-semantics/semantics/assert.k	6	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
4	reference-semantics/semantics/assert.k	8	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
5	reference-semantics/semantics/assert.k	13	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
6	reference-semantics/semantics/bool.k	5	module	SUPPLIED_FIXED_SEMANTICS	-	module MPY-BOOL	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
7	reference-semantics/semantics/bool.k	6	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-CORE	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
8	reference-semantics/semantics/bool.k	8	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
9	reference-semantics/semantics/bool.k	10	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
10	reference-semantics/semantics/bool.k	11	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
11	reference-semantics/semantics/bool.k	16	context	SUPPLIED_FIXED_SEMANTICS	-	context BoolOp(_, (HOLE:Expr, _:Exprs))	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
12	reference-semantics/semantics/bool.k	17	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
13	reference-semantics/semantics/bool.k	18	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
14	reference-semantics/semantics/bool.k	20	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
15	reference-semantics/semantics/bool.k	22	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
