id	source	module	start_line	end_line	kind	attributes	flags	disposition	text
K0001	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	3	3	module			fixed-supplied-semantics	module MPY-ASSERT
K0002	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	4	4	imports			fixed-supplied-semantics	  imports MPY-CORE
K0003	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	6	6	rule			fixed-supplied-semantics	  rule <k> Assert(V:Val) => .K ... </k>
K0004	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	7	7	requires			fixed-supplied-semantics	       requires truthy(V)
K0005	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	8	10	rule			fixed-supplied-semantics	"  rule <k> Assert(V:Val) ~> _ => .K </k>
       <exc> NoExc => AssertionError </exc>
       <exit-code> _ => 1 </exit-code>"
K0006	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	11	11	requires			fixed-supplied-semantics	       requires notBool truthy(V)
K0007	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	13	15	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
K0008	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	16	16	endmodule			fixed-supplied-semantics	endmodule
K0009	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	5	5	module			fixed-supplied-semantics	module MPY-BOOL
K0010	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	6	6	imports			fixed-supplied-semantics	  imports MPY-CORE
K0011	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	8	8	rule			fixed-supplied-semantics	"  rule applyUn(""not"", V:Val) => notBool truthy(V)"
K0012	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	10	10	rule			fixed-supplied-semantics	"  rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
K0013	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	11	15	rule			fixed-supplied-semantics	"  rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2

  // ==== BoolOp: short-circuit, value-returning and / or =====================
  // the node is its own accumulator: heat the HEAD element only, then either return it
  // (short-circuit) or drop it and continue"
K0014	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	16	16	context			fixed-supplied-semantics	  context BoolOp(_, (HOLE:Expr, _:Exprs))
K0015	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	17	17	rule			fixed-supplied-semantics	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0016	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	18	18	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
K0017	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	19	19	requires			fixed-supplied-semantics	       requires truthy(V)
K0018	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	20	20	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
K0019	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	21	21	requires			fixed-supplied-semantics	       requires notBool truthy(V)
K0020	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	22	22	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>"
K0021	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	23	23	requires			fixed-supplied-semantics	       requires truthy(V)
K0022	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	24	24	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
K0023	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	25	28	requires			fixed-supplied-semantics	"       requires notBool truthy(V)

  // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the
  // operand — and/or return the OBJECT itself (Python identity), not its structure"
K0024	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	29	30	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>
       [priority(40)]"
K0025	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	31	32	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>
       <heap> ... H |-> V:Val ... </heap>"
K0026	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	33	34	requires	priority(40)	priority	fixed-supplied-semantics	"       requires truthy(V)
       [priority(40)]"
K0027	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	35	36	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
       <heap> ... H |-> V:Val ... </heap>"
K0028	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	37	38	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool truthy(V)
       [priority(40)]"
K0029	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	39	40	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
       <heap> ... H |-> V:Val ... </heap>"
K0030	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	41	42	requires	priority(40)	priority	fixed-supplied-semantics	"       requires truthy(V)
       [priority(40)]"
K0031	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	43	44	rule			fixed-supplied-semantics	"  rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>
       <heap> ... H |-> V:Val ... </heap>"
K0032	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	45	46	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool truthy(V)
       [priority(40)]"
K0033	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	47	47	endmodule			fixed-supplied-semantics	endmodule
