symbol	source	line	no_evaluators	reached_by_theorem	assessment
md5hexCodes	/candidate/reference-semantics/semantics/builtins.k	285	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
intFloatDiv	/candidate/reference-semantics/semantics/float.k	24	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
divII	/candidate/reference-semantics/semantics/float.k	30	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
floatMod	/candidate/reference-semantics/semantics/float.k	37	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
floatLt	/candidate/reference-semantics/semantics/float.k	50	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
absF	/candidate/reference-semantics/semantics/float.k	54	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
floorFI	/candidate/reference-semantics/semantics/float.k	73	no	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
toF	/candidate/reference-semantics/semantics/float.k	86	no	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
ceilF	/candidate/reference-semantics/semantics/float.k	93	no	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
subF	/candidate/reference-semantics/semantics/float.k	103	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
divF	/candidate/reference-semantics/semantics/float.k	107	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
addF	/candidate/reference-semantics/semantics/float.k	111	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
mulF	/candidate/reference-semantics/semantics/float.k	115	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
powF	/candidate/reference-semantics/semantics/float.k	119	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
gtF	/candidate/reference-semantics/semantics/float.k	125	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
eqF	/candidate/reference-semantics/semantics/float.k	142	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
decStrToF	/candidate/reference-semantics/semantics/float.k	160	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
divFloatIntV	/candidate/reference-semantics/semantics/float.k	190	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
intToF	/candidate/reference-semantics/semantics/float.k	195	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
truncF	/candidate/reference-semantics/semantics/float.k	209	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
roundF	/candidate/reference-semantics/semantics/float.k	217	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
roundFN	/candidate/reference-semantics/semantics/float.k	223	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
sqrtF	/candidate/reference-semantics/semantics/float.k	230	yes	no	UNUSED BY SUBMITTED PROGRAM AND CLAIMS
sortVS	/candidate/reference-semantics/semantics/sort.k	18	yes	yes	RESULT-BEARING SUPPLIED TRUST BOUNDARY
sortKeyVS	/candidate/reference-semantics/semantics/sort.k	49	yes	yes	RESULT-BEARING SUPPLIED TRUST BOUNDARY
