id	path	start	end	kind	attributes	decision	source
1	semantics.k	34	34	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:NOT_REACHED_BY_SUBMITTED_PROGRAM	"requires ""semantics/syntax.k"""
2	semantics.k	35	35	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:NOT_REACHED_BY_SUBMITTED_PROGRAM	"requires ""semantics/core.k"""
3	semantics.k	36	36	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:NOT_REACHED_BY_SUBMITTED_PROGRAM	"requires ""semantics/iter.k"""
4	semantics.k	37	37	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/range.k"""
5	semantics.k	38	38	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/operators.k"""
6	semantics.k	39	39	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/int.k"""
7	semantics.k	40	40	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/bool.k"""
8	semantics.k	41	41	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/float.k"""
9	semantics.k	42	42	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/str.k"""
10	semantics.k	43	43	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/set.k"""
11	semantics.k	44	44	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/list.k"""
12	semantics.k	45	45	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/tuple.k"""
13	semantics.k	46	46	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/subscript.k"""
14	semantics.k	47	47	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/comprehension.k"""
15	semantics.k	48	48	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/methods.k"""
16	semantics.k	49	49	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/controls.k"""
17	semantics.k	50	50	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/functions.k"""
18	semantics.k	51	51	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/builtins.k"""
19	semantics.k	52	52	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/call.k"""
20	semantics.k	53	53	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/sort.k"""
21	semantics.k	54	54	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/assert.k"""
22	semantics.k	55	55	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/dict.k"""
23	semantics.k	56	56	requires	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	"requires ""semantics/concrete.k"""
24	semantics.k	58	58	module	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	module MPY
25	semantics.k	59	59	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-CORE
26	semantics.k	60	60	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-ITER
27	semantics.k	61	61	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-RANGE
28	semantics.k	62	62	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-OPERATORS
29	semantics.k	63	63	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-INT
30	semantics.k	64	64	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-BOOL
31	semantics.k	65	65	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-FLOAT
32	semantics.k	66	66	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-STR
33	semantics.k	67	67	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-SET
34	semantics.k	68	68	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-LIST
35	semantics.k	69	69	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-TUPLE
36	semantics.k	70	70	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-SUBSCRIPT
37	semantics.k	71	71	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-COMPREHENSION
38	semantics.k	72	72	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-METHODS
39	semantics.k	73	73	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-CONTROLS
40	semantics.k	74	74	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-FUNCTIONS
41	semantics.k	75	75	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-BUILTINS
42	semantics.k	76	76	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-CALL
43	semantics.k	77	77	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-SORT
44	semantics.k	78	78	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-ASSERT
45	semantics.k	79	79	imports	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	imports MPY-DICT
46	semantics.k	80	86	endmodule	-	FIXED_SUPPLIED_BASELINE:candidate entry is regular and byte-identical to trusted reference:SUBMITTED_PROGRAM_PATH_REVIEWED	endmodule
